bgc,ss_nospace,sppsplit,suitability,spp,newsuit,mod,outrange,Zone,Note,Comments
ESSFdcp,ESSFdcp/00,Bl,3,Bl,3,cd,FALSE,ESSF,NA,Generally limited by severe growing conditions
ESSFdcw,ESSFdcw/102,La,2,La,2,cd,FALSE,ESSF,NA,
ESSFdk1,ESSFdk1/103,Pf,3,Pf,2,cd,FALSE,ESSF,NA,fits within it's tolerance
ESSFdkw,ESSFdkw/101,Bl,2,Bl,2,cd,FALSE,ESSF,NA,Generally limited by severe growing conditions
ESSFdkw,ESSFdkw/102,Bl,2,Bl,3,cd,FALSE,ESSF,NA,"Generally limited by severe growing conditions, limited by drought"
ESSFdkw,ESSFdkw/103,Bl,2,Bl,2,cd,FALSE,ESSF,NA,
ESSFdkw,ESSFdkw/110,Bl,2,Bl,2,cd,FALSE,ESSF,NA,
ESSFdkw,ESSFdkw/102,La,2,La,2,cd,FALSE,ESSF,NA,
ESSFdkw,ESSFdkw/103,La,2,La,2,cd,FALSE,ESSF,NA,
ESSFdkw,ESSFdkw/101,Pa,3,Pa,3,cd,FALSE,ESSF,imputed,
ESSFdkw,ESSFdkw/102,Pa,3,Pa,2,cd,FALSE,ESSF,NA,
ESSFdkw,ESSFdkw/103,Pa,3,Pa,2,cd,FALSE,ESSF,NA,
ESSFdkw,ESSFdkw/101,Pli,3,Pl,3,cd,FALSE,ESSF,NA,limited to lower elevations; snow press will limit productivity
ESSFdkw,ESSFdkw/102,Pli,3,Pl,3,cd,FALSE,ESSF,NA,limited to lower elevations; snow press will limit productivity
ESSFdkw,ESSFdkw/103,Pli,3,Pl,3,cd,FALSE,ESSF,NA,limited to lower elevations; snow press will limit productivity
ESSFdkw,ESSFdkw/101,Se,2,Sx,2,cd,FALSE,ESSF,NA,
ESSFdkw,ESSFdkw/102,Se,3,Sx,3,cd,FALSE,ESSF,NA,drought limits establishment
ESSFdkw,ESSFdkw/103,Se,2,Sx,2,cd,FALSE,ESSF,NA,
ESSFdkw,ESSFdkw/110,Se,2,Sx,2,cd,FALSE,ESSF,NA,
ESSFmh,ESSFmh/112.1,Act,3,Ac,2,cd,FALSE,ESSF,NA,
ESSFmh,ESSFmh/112.2,Act,3,Ac,3,cd,FALSE,ESSF,NA,poor aeration will limit establishment
ESSFmh,ESSFmh/103,At,3,At,2,cd,FALSE,ESSF,imputed,restricted to warm slopes
ESSFmh,ESSFmh/112.1,Bl,2,Bl,1,cd,FALSE,ESSF,NA,
ESSFmh,ESSFmh/112.2,Bl,2,Bl,2,cd,FALSE,ESSF,NA,poor aeration will limit productivity
ESSFmh,ESSFmh/111,Ep,3,Ep,2,cd,FALSE,ESSF,imputed,limited to warm aspects
ESSFmh,ESSFmh/110,Fdi,3,Fd,3,cd,FALSE,ESSF,imputed,limited to warm aspects; often outcompeted on these sites
ESSFmh,ESSFmh/110,Lw,3,Lw,3,cd,FALSE,ESSF,imputed,limited to warm aspects; often outcompeted on these sites
ESSFmh,ESSFmh/111,Lw,3,Lw,3,cd,FALSE,ESSF,imputed,
ESSFmh,ESSFmh/112.1,Sxw,1,Sx,1,cd,FALSE,ESSF,NA,
ESSFmh,ESSFmh/112.2,Sxw,1,Sx,2,cd,FALSE,ESSF,NA,poor aeration will limit productivity
ESSFmmp,ESSFmmp/00,Bl,3,Bl,3,cd,FALSE,ESSF,NA,
ESSFmmp,ESSFmmp/00,La,3,La,3,cd,FALSE,ESSF,imputed,
ESSFmmw,ESSFmmw/01,Bl,2,Bl,2,cd,FALSE,ESSF,NA,generally establishment and growth are more limited in this BGC unit
ESSFmmw,ESSFmmw/02,Bl,3,Bl,3,cd,FALSE,ESSF,NA,drought limits establishment
ESSFmmw,ESSFmmw/03,Bl,2,Bl,2,cd,FALSE,ESSF,NA,
ESSFmmw,ESSFmmw/04,Bl,2,Bl,2,cd,FALSE,ESSF,NA,
ESSFmmw,ESSFmmw/05,Bl,2,Bl,2,cd,FALSE,ESSF,NA,
ESSFmmw,ESSFmmw/06,Bl,2,Bl,2,cd,FALSE,ESSF,NA,
ESSFmmw,ESSFmmw/07,Bl,2,Bl,2,cd,FALSE,ESSF,NA,
ESSFmmw,ESSFmmw/01,Pli,3,Pl,5,cd,FALSE,ESSF,NA,not know to occur in  this site series possibly due to lack of fire history
ESSFmmw,ESSFmmw/02,Pli,3,Pl,5,cd,FALSE,ESSF,NA,not known to occur in this site series
ESSFmmw,ESSFmmw/03,Pli,3,Pl,3,cd,FALSE,ESSF,NA,snow press will impact establishment and growth on steeper slopes
ESSFmmw,ESSFmmw/04,Pli,3,Pl,3,cd,FALSE,ESSF,NA,
ESSFmmw,ESSFmmw/05,Pli,3,Pl,5,cd,FALSE,ESSF,NA,not known to occur in this site series
ESSFmmw,ESSFmmw/06,Pli,3,Pl,5,cd,FALSE,ESSF,NA,not known to occur in this site series
ESSFmmw,ESSFmmw/07,Pli,3,Pl,5,cd,FALSE,ESSF,NA,not known to occur in this site series
ESSFmmw,ESSFmmw/01,Sxw,2,Sx,2,cd,FALSE,ESSF,NA,
ESSFmmw,ESSFmmw/02,Sxw,3,Sx,3,cd,FALSE,ESSF,NA,drought limits establishment
