Source,Zone,SubzoneGroup,Subzone,BGC,BGCName,ZoneName,SubzoneName,VariantName,General.Location,OldSubzoneLabel,DataSet,State,Notes
BGCv13,ESSF,,ESSFun,ESSFun1,Undifferentiated Central Coast ESSF,Engelmann Spruce  –  Subalpine Fir,Undifferentiated,,,,BC,BC,
BGCv13,ESSF,,ESSFun,ESSFun2,??,Engelmann Spruce  –  Subalpine Fir,Undifferentiated,,,,BC,BC,
BGCv13,ICH,,ICHun,ICHun1,Undifferentiated Central Coast ICH,Interior Cedar  –  Hemlock,Undifferentiated, Central Coast,,,BC,BC,
BGCv13,MH,,MHun,MHun1,Undifferentiated Stikine MH,Mountain Hemlock,Undifferentiated,Stikine ,,MHun??,BC,BC,
BGCv13,MS,,MSun,MSun1,Undifferentiated Central Coast MS,Montane Spruce,Undifferentiated, Central Coast,,,BC,BC,
BGCv13,SBS,SBS_meso,SBSmz,SBSmz,Moist and Extremely Cold SBS, Sub-boreal Spruce,Moist and Extremely Cold ,,,,BC,BC,
BGCv13,SBS,SBS_wet,SBSvc,SBSvc,Very Wet and Cold SBS, Sub-boreal Spruce,Very Wet and Cold ,,,SBSvz,BC,BC,
BGCv13,SWB,,SWBun,SWBun1,,Spruce –  Willow  –  Birch,Undifferentiated,,,,BC,BC,
BGCv13,ESSF,ESSF_wet,ESSFwc,ESSFwc7,Wet cold Bowron ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Cold,Bowron,,ESSFwc3,BC,BC,
