"","bgc","ss_nospace","sppsplit","spp","suitability","newsuit","mod","outrange","Zone","Note"
"1","CWHvh3","CWHvh3/101","Dr","Dr",2,3,"SCS/HAK",FALSE,"CWH"," "
"2","CWHvh3","CWHvh3/101","Hw","Hw",1,1,"SCS/HAK",FALSE,"CWH"," "
"3","CWHvh3","CWHvh3/101","Plc","Pl",2,3,"SCS/HAK",FALSE,"CWH"," "
"4","CWHvh3","CWHvh3/101","Ss","Ss",3,3,"SCS/HAK",FALSE,"CWH"," "
"5","CWHvh3","CWHvh3/101","Yc","Yc",2,1,"SCS/HAK",FALSE,"CWH"," "
"6","CWHvh3","CWHvh3/101","Hm","Hm",NA,4,"SCS/HAK",FALSE,"CWH"," "
"7","CWHvh3","CWHvh3/101","Cw","Cw",NA,1,"SCS/HAK",FALSE,"CWH"," "
"8","CWHvh3","CWHvh3/101a","Dr","Dr",2,3,"SCS/HAK",FALSE,"CWH"," "
"9","CWHvh3","CWHvh3/101a","Hw","Hw",1,1,"SCS/HAK",FALSE,"CWH"," "
"10","CWHvh3","CWHvh3/101a","Plc","Pl",2,3,"SCS/HAK",FALSE,"CWH"," "
"11","CWHvh3","CWHvh3/101a","Ss","Ss",3,3,"SCS/HAK",FALSE,"CWH"," "
"12","CWHvh3","CWHvh3/101a","Cw","Cw",NA,1,"SCS/HAK",FALSE,"CWH"," "
"13","CWHvh3","CWHvh3/101a","Hm","Hm",NA,4,"SCS/HAK",FALSE,"CWH"," "
"14","CWHvh3","CWHvh3/101a","Yc","Yc",2,1,"SCS/HAK",FALSE,"CWH"," "
"15","CWHvh3","CWHvh3/101b","Dr","Dr",2,4,"SCS/HAK",FALSE,"CWH"," "
"16","CWHvh3","CWHvh3/101b","Hw","Hw",1,1,"SCS/HAK",FALSE,"CWH"," "
"17","CWHvh3","CWHvh3/101b","Plc","Pl",2,2,"SCS/HAK",FALSE,"CWH"," "
"18","CWHvh3","CWHvh3/101b","Ss","Ss",3,3,"SCS/HAK",FALSE,"CWH"," "
"19","CWHvh3","CWHvh3/101b","Yc","Yc",2,1,"SCS/HAK",FALSE,"CWH"," "
"20","CWHvh3","CWHvh3/101b","Cw","Cw",NA,1,"SCS/HAK",FALSE,"CWH"," "
"21","CWHvh3","CWHvh3/101b","Hm","Hm",NA,4,"SCS/HAK",FALSE,"CWH"," "
"22","CWHvh3","CWHvh3/101c","Dr","Dr",2,2,"SCS/HAK",FALSE,"CWH"," "
"23","CWHvh3","CWHvh3/101c","Hw","Hw",1,1,"SCS/HAK",FALSE,"CWH"," "
"24","CWHvh3","CWHvh3/101c","Plc","Pl",2,2,"SCS/HAK",FALSE,"CWH"," "
"25","CWHvh3","CWHvh3/101c","Ss","Ss",3,3,"SCS/HAK",FALSE,"CWH"," "
"26","CWHvh3","CWHvh3/101c","Yc","Yc",2,1,"SCS/HAK",FALSE,"CWH"," "
"27","CWHvh3","CWHvh3/101c","Cw","Cw",NA,1,"SCS/HAK",FALSE,"CWH"," "
"28","CWHvh3","CWHvh3/101c","Hm","Hm",NA,4,"SCS/HAK",FALSE,"CWH"," "
"29","CWHvh3","CWHvh3/102","Dr","Dr",3,3,"SCS/HAK",FALSE,"CWH"," "
"30","CWHvh3","CWHvh3/102","Hw","Hw",3,3,"SCS/HAK",FALSE,"CWH"," "
"31","CWHvh3","CWHvh3/102","Plc","Pl",2,2,"SCS/HAK",FALSE,"CWH"," "
"32","CWHvh3","CWHvh3/102","Yc","Yc",NA,2,"SCS/HAK",FALSE,"CWH"," "
"33","CWHvh3","CWHvh3/102","Hm","Hm",NA,4,"SCS/HAK",FALSE,"CWH"," "
"34","CWHvh3","CWHvh3/102","Cw","Cw",NA,4,"SCS/HAK",FALSE,"CWH"," "
"35","CWHvh3","CWHvh3/102","Ss","Ss",NA,4,"SCS/HAK",FALSE,"CWH"," "
"36","CWHvh3","CWHvh3/103","Cw","Cw",3,3,"SCS/HAK",FALSE,"CWH"," "
"37","CWHvh3","CWHvh3/103","Dr","Dr",3,4,"SCS/HAK",FALSE,"CWH"," "
"38","CWHvh3","CWHvh3/103","Hw","Hw",3,3,"SCS/HAK",FALSE,"CWH"," "
"39","CWHvh3","CWHvh3/103","Ss","Ss",2,2,"SCS/HAK",FALSE,"CWH"," "
"40","CWHvh3","CWHvh3/104","Dr","Dr",3,3,"SCS/HAK",FALSE,"CWH"," "
"41","CWHvh3","CWHvh3/104","Hw","Hw",3,3,"SCS/HAK",FALSE,"CWH"," "
"42","CWHvh3","CWHvh3/104","Ss","Ss",1,2,"SCS/HAK",FALSE,"CWH"," "
"43","CWHvh3","CWHvh3/105","Dr","Dr",2,2,"SCS/HAK",FALSE,"CWH"," "
"44","CWHvh3","CWHvh3/105","Hw","Hw",1,1,"SCS/HAK",FALSE,"CWH"," "
"45","CWHvh3","CWHvh3/105","Ss","Ss",1,1,"SCS/HAK",FALSE,"CWH"," "
"46","CWHvh3","CWHvh3/105","Yc","Yc",3,4,"SCS/HAK",FALSE,"CWH"," "
"47","CWHvh3","CWHvh3/105","Hm","Hm",NA,4,"SCS/HAK",FALSE,"CWH"," "
"48","CWHvh3","CWHvh3/105","Plc","Pl",NA,4,"SCS/HAK",FALSE,"CWH"," "
"49","CWHvh3","CWHvh3/105","Cw","Cw",NA,1,"SCS/HAK",FALSE,"CWH"," "
"50","CWHvh3","CWHvh3/105a","Dr","Dr",2,2,"SCS/HAK",FALSE,"CWH"," "
"51","CWHvh3","CWHvh3/105a","Hw","Hw",1,1,"SCS/HAK",FALSE,"CWH"," "
"52","CWHvh3","CWHvh3/105a","Ss","Ss",1,1,"SCS/HAK",FALSE,"CWH"," "
"53","CWHvh3","CWHvh3/105a","Yc","Yc",3,4,"SCS/HAK",FALSE,"CWH"," "
"54","CWHvh3","CWHvh3/105a","Hm","Hm",NA,4,"SCS/HAK",FALSE,"CWH"," "
"55","CWHvh3","CWHvh3/105a","Plc","Pl",NA,4,"SCS/HAK",FALSE,"CWH"," "
"56","CWHvh3","CWHvh3/105a","Cw","Cw",NA,1,"SCS/HAK",FALSE,"CWH"," "
"57","CWHvh3","CWHvh3/105b","Dr","Dr",2,2,"SCS/HAK",FALSE,"CWH"," "
"58","CWHvh3","CWHvh3/105b","Hw","Hw",1,1,"SCS/HAK",FALSE,"CWH"," "
"59","CWHvh3","CWHvh3/105b","Ss","Ss",1,1,"SCS/HAK",FALSE,"CWH"," "
"60","CWHvh3","CWHvh3/105b","Yc","Yc",3,4,"SCS/HAK",FALSE,"CWH"," "
"61","CWHvh3","CWHvh3/105b","Hm","Hm",NA,4,"SCS/HAK",FALSE,"CWH"," "
"62","CWHvh3","CWHvh3/105b","Plc","Pl",NA,4,"SCS/HAK",FALSE,"CWH"," "
"63","CWHvh3","CWHvh3/105b","Cw","Cw",NA,1,"SCS/HAK",FALSE,"CWH"," "
"64","CWHvh3","CWHvh3/106","Dr","Dr",2,2,"SCS/HAK",FALSE,"CWH"," "
"65","CWHvh3","CWHvh3/106","Hw","Hw",2,1,"SCS/HAK",FALSE,"CWH"," "
"66","CWHvh3","CWHvh3/106","Ss","Ss",1,1,"SCS/HAK",FALSE,"CWH"," "
"67","CWHvh3","CWHvh3/106","Yc","Yc",3,3,"SCS/HAK",FALSE,"CWH"," "
"68","CWHvh3","CWHvh3/106","Cw","Cw",NA,1,"SCS/HAK",FALSE,"CWH"," "
"69","CWHvh3","CWHvh3/106a","Dr","Dr",2,2,"SCS/HAK",FALSE,"CWH"," "
"70","CWHvh3","CWHvh3/106a","Hw","Hw",2,1,"SCS/HAK",FALSE,"CWH"," "
"71","CWHvh3","CWHvh3/106a","Ss","Ss",1,1,"SCS/HAK",FALSE,"CWH"," "
"72","CWHvh3","CWHvh3/106a","Yc","Yc",3,3,"SCS/HAK",FALSE,"CWH"," "
"73","CWHvh3","CWHvh3/106a","Cw","Cw",NA,1,"SCS/HAK",FALSE,"CWH"," "
"74","CWHvh3","CWHvh3/106b","Dr","Dr",2,2,"SCS/HAK",FALSE,"CWH"," "
"75","CWHvh3","CWHvh3/106b","Hw","Hw",2,1,"SCS/HAK",FALSE,"CWH"," "
"76","CWHvh3","CWHvh3/106b","Ss","Ss",1,1,"SCS/HAK",FALSE,"CWH"," "
"77","CWHvh3","CWHvh3/106b","Yc","Yc",3,3,"SCS/HAK",FALSE,"CWH"," "
"78","CWHvh3","CWHvh3/106b","Cw","Cw",NA,1,"SCS/HAK",FALSE,"CWH"," "
"79","CWHvh3","CWHvh3/106c","Dr","Dr",2,2,"SCS/HAK",FALSE,"CWH"," "
"80","CWHvh3","CWHvh3/106c","Hw","Hw",2,1,"SCS/HAK",FALSE,"CWH"," "
"81","CWHvh3","CWHvh3/106c","Ss","Ss",1,1,"SCS/HAK",FALSE,"CWH"," "
