bgc,ss_nospace,sppsplit,suitability,spp,newsuit,mod,outrange,Zone,Note,Comments,Footnotes
BAFAunp,BAFAunp/00,Bl,1,Bl,3,cd,FALSE,BAFA,imputed,Limited establishment and growth of all species,
BAFAunp,BAFAunp/00,Hm,3,Hm,4,cd,FALSE,BAFA,imputed,Limited establishment and growth of all species; restricted to areas closer to coastal BGC units,
BAFAunp,BAFAunp/00,Pa,3,Pa,4,cd,FALSE,BAFA,imputed,blister rust  will limit establishment,
ESSFmv3,ESSFmv3/01,At,1,At,2,cd,FALSE,ESSF,imputed,only suitable on warmer slopes,
BWBSdk,BWBSdk/102,Sb,5,Sb,5,cd,FALSE,BWBS,NA,,
BWBSmw,BWBSmw/103,Bl,3,Bl,3,cd,FALSE,BWBS,imputed,only near edges of ESSF or SWB,
BWBSmw,BWBSmw/104,Bl,3,Bl,3,cd,FALSE,BWBS,imputed,only near edges of ESSF or SWB,
BWBSmw,BWBSmw/111,Bl,3,Bl,3,cd,FALSE,BWBS,imputed,only near edges of ESSF or SWB,
BWBSmw,BWBSmw/110,Sb,5,Sb,5,cd,FALSE,BWBS,NA,not known to occur,
BWBSvk,BWBSvk/h,Acb,1,Ac,1,cd,FALSE,BWBS,NA,,
BWBSvk,BWBSvk/m,Acb,1,Ac,1,cd,FALSE,BWBS,NA,,
BWBSvk,BWBSvk/h,Sw,1,Sx,1,cd,FALSE,BWBS,NA,,
BWBSvk,BWBSvk/m,Sw,1,Sx,1,cd,FALSE,BWBS,NA,,
BWBSwk1,BWBSwk1/110,Bl,2,Bl,2,cd,FALSE,BWBS,imputed,only near edges of ESSF or SWB,
BWBSwk1,BWBSwk1/101,Ep,3,Ep,3,cd,FALSE,BWBS,imputed,rarely seen in the BWBSwk1,
BWBSwk2,BWBSwk2/110,Bl,3,Bl,3,cd,FALSE,BWBS,imputed,only near edges of ESSF or SWB,
ESSFmc,ESSFmc/03,Ac,4,Ac,4,cd,FALSE,ESSF,imputed,only at lower elevation limits,
ESSFmc,ESSFmc/09,Pli,4,Pl,4,cd,FALSE,ESSF,imputed,generally not present and only on edges of this unit,
ESSFmcw,ESSFmcw/110,Sx,3,Sx,3,cd,FALSE,ESSF,imputed,not familiar with this unit and couldn't find a guid,
ESSFwk2,ESSFwk2/03,Ac,3,Ac,3,cd,FALSE,ESSF,imputed,only at lower elevation limits and only sporadic occurrence,
ICHmc1,ICHmc1/02,Ac,4,Ac,4,cd,FALSE,ICH,imputed,only on moist microsites,
ICHmc1,ICHmc1/05,Ep,3,Ep,3,cd,FALSE,ICH,NA,limited to edges of this unit,
ICHmc1a,ICHmc1a/01a,Ba,1,Ba,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/03,Ba,1,Ba,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/02,Bl,3,Bl,3,cd,FALSE,ICH,NA,browsing and drought limit productivity,
ICHmc1a,ICHmc1a/03,Bl,2,Bl,2,cd,FALSE,ICH,NA,browsing may limit productivity,
ICHmc1a,ICHmc1a/01,Cw,4,Cw,4,cd,FALSE,ICH,NA,rare occurrence,
ICHmc1a,ICHmc1a/01a,Cw,4,Cw,4,cd,FALSE,ICH,NA,rare occurrence,
ICHmc1a,ICHmc1a/01b,Cw,4,Cw,4,cd,FALSE,ICH,NA,rare occurrence,
ICHmc1a,ICHmc1a/03,Cw,4,Cw,4,cd,FALSE,ICH,NA,rare occurrence,
ICHmc1a,ICHmc1a/01,Hw,1,Hw,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/01a,Hw,1,Hw,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/01b,Hw,1,Hw,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/02,Hw,2,Hw,2,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/01,Pli,1,Pl,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/01a,Pli,1,Pl,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/01b,Pli,1,Pl,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/02,Pli,2,Pl,2,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/03,Pli,2,Pl,2,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/01,Sxw,1,Sx,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/01a,Sxw,1,Sx,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/01b,Sxw,1,Sx,1,cd,FALSE,ICH,NA,,
ICHmc1a,ICHmc1a/03,Sxw,1,Sx,1,cd,FALSE,ICH,NA,,
ICHvk1,ICHvk1/02,Ep,3,Ep,3,cd,FALSE,ICH,NA,limited natural distribution due to lack of fire history ,Check for distribution in harvested sites
ICHvk1,ICHvk1/06,Pli,4,Pl,4,cd,FALSE,ICH,NA,rare occurrence,Check for distribution
ICHvk1,ICHvk1/04,Tw,3,Tw,3,cd,FALSE,ICH,imputed,establishment success unkown,
ICHvk2,ICHvk2/05,Act,1,Ac,1,cd,FALSE,ICH,NA,,
ICHvk2,ICHvk2/01,Bl,2,Bl,2,cd,FALSE,ICH,NA,susceptible to browsing,
ICHvk2,ICHvk2/03,Bl,2,Bl,2,cd,FALSE,ICH,NA,susceptible to browsing,
ICHvk2,ICHvk2/05,Bl,2,Bl,2,cd,FALSE,ICH,NA,susceptible to browsing,
