"","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange"
"1","ICHxm1","ICHxm1/104","Py",NA,"Py",3,"inputed",NA
"2","ESSFdc2","ESSFdc2/101","At",NA,"At",3,"inputed",NA
"3","MSdm2","MSdm2/104","At",NA,"At",3,"inputed",NA
"4","IDFdk1","IDFdk1/111","Fdi",NA,"Fd",2,"inputed",NA
"5","MSdm2","MSdm2/101","Ac",NA,"Ac",3,"inputed",NA
"6","MSdm2","MSdm2/105","Fdi",NA,"Fd",3,"inputed",NA
"7","IDFdk2","IDFdk2/110","Pli",NA,"Pl",3,"inputed",NA
"8","MSdm2","MSdm2/101","At",NA,"At",4,"inputed",NA
"9","IDFdk2","IDFdk2/101","Ac",NA,"Ac",4,"inputed",NA
"10","MSdm3","MSdm3/01","Cw",NA,"Cw",4,"inputed",NA
"11","MSdm3","MSdm3/05","At",NA,"At",3,"inputed",NA
"12","ESSFdc3","ESSFdc3/05","Fdi",NA,"Fd",3,"inputed",NA
"13","ESSFwcp","ESSFwcp/00","Pa",NA,"Pa",3,"inputed",NA
"14","ICHmw2","ICHmw2/110","Tw",NA,"Tw",3,"inputed",NA
"15","IDFdm2","IDFdm2/103","Sx",NA,"Sx",2,"inputed",NA
"16","MSdw","MSdw/111","Pli",NA,"Pl",2,"inputed",NA
"17","MSdw","MSdw/111","Lw",NA,"Lw",3,"inputed",NA
"18","MSdk","MSdk/111","Lw",NA,"Lw",3,"inputed",NA
"19","MSdw","MSdw/111","Fdi",NA,"Fd",3,"inputed",NA
"20","MSdk","MSdk/111","Fdi",NA,"Fd",4,"inputed",NA
"21","ICHxw","ICHxw/103","Cw",NA,"Cw",1,"inputed",NA
"22","ESSFmh","ESSFmh/104","Cw",NA,"Cw",3,"inputed",NA
"23","ICHdw1","ICHdw1/111","Tw",NA,"Tw",3,"inputed",NA
"24","CWHvm1","CWHvm1/103","Hm",NA,"Hm",2,"inputed",NA
"25","CWHvm1","CWHvm1/103","Yc",NA,"Yc",2,"inputed",NA
"26","CWHvm1","CWHvm1/113","Ba",NA,"Ba",3,"inputed",NA
"27","CWHvh3","CWHvh3/101","Ba",NA,"Ba",2,"inputed",NA
"28","CWHvh3","CWHvh3/110","Ba",NA,"Ba",1,"inputed",NA
"29","ESSFmh","ESSFmh/110","Lw",NA,"Lw",3,"inputed",NA
"30","ICHmk1","ICHmk1/105","Tw",NA,"Tw",4,"inputed",NA
"31","ESSFmh","ESSFmh/111","Lw",NA,"Lw",3,"inputed",NA
"32","ICHmw5","ICHmw5/111","Pli",NA,"Pl",3,"inputed",NA
"33","ICHmk4","ICHmk4/110","Pli",NA,"Pl",3,"inputed",NA
"34","CWHdm1","CWHdm1/103","Qg",NA,"Qg",3,"inputed",NA
"35","ESSFwm2","ESSFwm2/101","Pa",NA,"Pa",4,"inputed",NA
"36","ESSFwm2","ESSFwm2/104","Hw",NA,"Hw",3,"inputed",NA
"37","CWHds1","CWHds1/101","Mv",NA,"Mv",3,"inputed",NA
"38","CWHds1","CWHds1/101a","Mv",NA,"Mv",3,"inputed",NA
"39","CWHds1","CWHds1/101","Bl",NA,"Bl",2,"inputed",NA
"40","CWHds1","CWHds1/101a","Bl",NA,"Bl",2,"inputed",NA
"41","CWHds1","CWHds1/101","Hm",NA,"Hm",3,"inputed",NA
"42","CWHds1","CWHds1/101a","Hm",NA,"Hm",3,"inputed",NA
"43","CWHds1","CWHds1/101","Ba",NA,"Ba",2,"inputed",NA
"44","CWHds1","CWHds1/101a","Ba",NA,"Ba",2,"inputed",NA
"45","CWHms3","CWHms3/103","Bl",NA,"Bl",2,"inputed",NA
"46","CWHms5","CWHms5/101.2","Yc",NA,"Yc",2,"inputed",NA
"47","CWHms3","CWHms3/103","Yc",NA,"Yc",3,"inputed",NA
"48","CWHms5","CWHms5/103","Yc",NA,"Yc",3,"inputed",NA
"49","CWHms5","CWHms5/103.1","Yc",NA,"Yc",3,"inputed",NA
"50","CWHms5","CWHms5/103.2","Yc",NA,"Yc",3,"inputed",NA
"51","CWHms4","CWHms4/110","Tw",NA,"Tw",3,"inputed",NA
"52","IDFdk5","IDFdk5/103","Lw",NA,"Lw",1,"inputed",NA
"53","CWHvm3","CWHvm3/103","Yc",NA,"Yc",2,"inputed",NA
"54","CWHvh1","CWHvh1/103","Pw",NA,"Pw",3,"inputed",NA
"55","CWHvm1","CWHvm1/101","Yc",NA,"Yc",2,"inputed",NA
"56","CWHvm3","CWHvm3/101","Yc",NA,"Yc",2,"inputed",NA
"57","CWHvh1","CWHvh1/102","Tw",NA,"Tw",4,"inputed",NA
"58","CWHvh1","CWHvh1/112","Tw",NA,"Tw",3,"inputed",NA
"59","CWHvh1","CWHvh1/103","Tw",NA,"Tw",3,"inputed",NA
"60","CWHvm2","CWHvm2/115","Ss",NA,"Ss",1,"inputed",NA
"61","CWHvm3","CWHvm3/Ws56","Ba",NA,"Ba",2,"inputed",NA
"62","CWHvh1","CWHvh1/101","Tw",NA,"Tw",3,"inputed",NA
"63","CWHvh1","CWHvh1/Ws54","Tw",NA,"Tw",4,"inputed",NA
"64","CWHvh1","CWHvh1/Ws56","Tw",NA,"Tw",4,"inputed",NA
"65","CWHvm1","CWHvm1/111.2","Pw",NA,"Pw",3,"inputed",NA
"66","CWHms5","CWHms5/110","Bl",NA,"Bl",2,"inputed",NA
"67","CWHdm3","CWHdm3/112","Ba",NA,"Ba",2,"inputed",NA
"68","CWHxs","CWHxs/101","Bl",NA,"Bl",3,"inputed",NA
"69","IDFww","IDFww/101","Bl",NA,"Bl",3,"inputed",NA
"70","IDFww","IDFww/101.1","Bl",NA,"Bl",3,"inputed",NA
"71","IDFww","IDFww/101.2","Bl",NA,"Bl",3,"inputed",NA
"72","CWHxs","CWHxs/101.1","Bl",NA,"Bl",4,"inputed",NA
"73","CWHvm1","CWHvm1/101","Hm",NA,"Hm",2,"inputed",NA
"74","CWHvm1","CWHvm1/111","Hm",NA,"Hm",2,"inputed",NA
"75","CWHvm1","CWHvm1/111.2","Hm",NA,"Hm",2,"inputed",NA
"76","CWHvm3","CWHvm3/101","Hm",NA,"Hm",2,"inputed",NA
"77","CWHvm3","CWHvm3/111","Hm",NA,"Hm",2,"inputed",NA
"78","CWHvm3","CWHvm3/111.2","Hm",NA,"Hm",2,"inputed",NA
"79","CWHdm3","CWHdm3/101","Ba",NA,"Ba",2,"inputed",NA
"80","CWHdm3","CWHdm3/101","Bg",NA,"Bg",3,"inputed",NA
"81","CWHxs","CWHxs/101","Plc",NA,"Pl",3,"inputed",NA
"82","IDFww","IDFww/101.1","Ba",NA,"Ba",3,"inputed",NA
"83","CWHms5","CWHms5/101.1","Mv",NA,"Mv",3,"inputed",NA
"84","CWHds1","CWHds1/101b","Tw",NA,"Tw",3,"inputed",NA
"85","CWHms5","CWHms5/101.2","Plc",NA,"Pl",3,"inputed",NA
"86","CWHds1","CWHds1/110","Mv",NA,"Mv",2,"inputed",NA
"87","CWHdm2","CWHdm2/101","Ba",NA,"Ba",2,"inputed",NA
"88","CWHdm2","CWHdm2/101","Tw",NA,"Tw",4,"inputed",NA
"89","SBSmc2","SBSmc2/06","Hw",NA,"Hw",3,"inputed",NA
"90","SBSmc2","SBSmc2/01","Ac",NA,"Ac",3,"inputed",NA
"91","SBSmc2","SBSmc2/05","Hw",NA,"Hw",3,"inputed",NA
"92","BWBSmw","BWBSmw/103","Bl",NA,"Bl",3,"inputed",NA
"93","BWBSwk1","BWBSwk1/101","Ep",NA,"Ep",3,"inputed",NA
"94","BWBSmw","BWBSmw/104","Ac",NA,"Ac",3,"inputed",NA
"95","BWBSwk2","BWBSwk2/102","Bl",NA,"Bl",2,"inputed",NA
"96","BWBSwk2","BWBSwk2/110","Bl",NA,"Bl",3,"inputed",NA
"97","BWBSwk1","BWBSwk1/103","Sb",NA,"Sb",2,"inputed",NA
"98","BWBSwk1","BWBSwk1/103","Ac",NA,"Ac",3,"inputed",NA
"99","BWBSwk1","BWBSwk1/101","Ac",NA,"Ac",2,"inputed",NA
"100","CWHvh2","CWHvh2/104","Hm",NA,"Hm",2,"inputed",NA
"101","CWHms5","CWHms5/102","Sx",NA,"Sx",4,"inputed",NA
"102","CWHvm1","CWHvm1/112","Yc",NA,"Yc",3,"inputed",NA
"103","CWHvm1","CWHvm1/112.2","Yc",NA,"Yc",3,"inputed",NA
"104","CWHvm3","CWHvm3/112","Yc",NA,"Yc",3,"inputed",NA
"105","CWHvm3","CWHvm3/112.2","Yc",NA,"Yc",3,"inputed",NA
"106","CWHvm1","CWHvm1/112","Hm",NA,"Hm",3,"inputed",NA
"107","CWHvm1","CWHvm1/112.2","Hm",NA,"Hm",3,"inputed",NA
"108","CWHvm3","CWHvm3/112","Hm",NA,"Hm",3,"inputed",NA
"109","CWHvm3","CWHvm3/112.2","Hm",NA,"Hm",3,"inputed",NA
"110","SBSdk","SBSdk/01","Ac",NA,"Ac",3,"inputed",NA
"111","BWBSmk","BWBSmk/111","Bl",NA,"Bl",4,"inputed",NA
"112","SBSdw3","SBSdw3/03","Bl",NA,"Bl",3,"inputed",NA
"113","SBSmk1","SBSmk1/06","Ep",NA,"Ep",3,"inputed",NA
"114","ESSFmv2","ESSFmv2/06","Ac",NA,"Ac",3,"inputed",NA
