"","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange"
"26","ESSFwm2","ESSFwm2/104","Hw",NA,"Hw",3,"inputed",NA
"27","CWHds1","CWHds1/101","Mv",NA,"Mv",3,"inputed",NA
"28","CWHds1","CWHds1/101a","Mv",NA,"Mv",3,"inputed",NA
"29","CWHds1","CWHds1/101","Bl",NA,"Bl",2,"inputed",NA
"30","CWHds1","CWHds1/101a","Bl",NA,"Bl",2,"inputed",NA
"31","CWHds1","CWHds1/101","Hm",NA,"Hm",3,"inputed",NA
"32","CWHds1","CWHds1/101a","Hm",NA,"Hm",3,"inputed",NA
"33","CWHds1","CWHds1/101","Ba",NA,"Ba",2,"inputed",NA
"34","CWHds1","CWHds1/101a","Ba",NA,"Ba",2,"inputed",NA
"35","CWHms3","CWHms3/103","Bl",NA,"Bl",2,"inputed",NA
"36","CWHms5","CWHms5/101.2","Yc",NA,"Yc",2,"inputed",NA
"37","CWHms3","CWHms3/103","Yc",NA,"Yc",3,"inputed",NA
"38","CWHms5","CWHms5/103","Yc",NA,"Yc",3,"inputed",NA
"39","CWHms5","CWHms5/103.1","Yc",NA,"Yc",3,"inputed",NA
"40","CWHms5","CWHms5/103.2","Yc",NA,"Yc",3,"inputed",NA
"41","CWHms4","CWHms4/110","Tw",NA,"Tw",3,"inputed",NA
"42","CWHvm3","CWHvm3/103","Yc",NA,"Yc",2,"inputed",NA
"43","CWHvm1","CWHvm1/101","Yc",NA,"Yc",2,"inputed",NA
"44","CWHvm3","CWHvm3/101","Yc",NA,"Yc",2,"inputed",NA
"45","CWHvh1","CWHvh1/102","Tw",NA,"Tw",4,"inputed",NA
"46","CWHvh1","CWHvh1/112","Tw",NA,"Tw",3,"inputed",NA
"47","CWHvh1","CWHvh1/103","Tw",NA,"Tw",3,"inputed",NA
"48","CWHvm2","CWHvm2/115","Ss",NA,"Ss",1,"inputed",NA
"49","CWHvm3","CWHvm3/Ws56","Ba",NA,"Ba",2,"inputed",NA
"50","CWHvh1","CWHvh1/101","Tw",NA,"Tw",3,"inputed",NA
"51","CWHvh1","CWHvh1/Ws54","Tw",NA,"Tw",4,"inputed",NA
"52","CWHvh1","CWHvh1/Ws56","Tw",NA,"Tw",4,"inputed",NA
"53","CWHvm1","CWHvm1/111.2","Pw",NA,"Pw",3,"inputed",NA
"54","CWHms5","CWHms5/110","Bl",NA,"Bl",2,"inputed",NA
"55","CWHdm3","CWHdm3/112","Ba",NA,"Ba",2,"inputed",NA
"56","CWHxs","CWHxs/101","Bl",NA,"Bl",3,"inputed",NA
"57","IDFww","IDFww/101","Bl",NA,"Bl",3,"inputed",NA
"58","IDFww","IDFww/101.1","Bl",NA,"Bl",3,"inputed",NA
"59","IDFww","IDFww/101.2","Bl",NA,"Bl",3,"inputed",NA
"60","CWHxs","CWHxs/101.1","Bl",NA,"Bl",4,"inputed",NA
"61","CWHvm1","CWHvm1/101","Hm",NA,"Hm",2,"inputed",NA
"62","CWHvm1","CWHvm1/111","Hm",NA,"Hm",2,"inputed",NA
"63","CWHvm1","CWHvm1/111.2","Hm",NA,"Hm",2,"inputed",NA
"64","CWHvm3","CWHvm3/101","Hm",NA,"Hm",2,"inputed",NA
"65","CWHvm3","CWHvm3/111","Hm",NA,"Hm",2,"inputed",NA
"66","CWHvm3","CWHvm3/111.2","Hm",NA,"Hm",2,"inputed",NA
"67","CWHdm3","CWHdm3/101","Ba",NA,"Ba",2,"inputed",NA
"68","CWHxs","CWHxs/101","Plc",NA,"Pl",3,"inputed",NA
"69","CWHms5","CWHms5/101.1","Mv",NA,"Mv",3,"inputed",NA
"70","CWHds1","CWHds1/101b","Tw",NA,"Tw",3,"inputed",NA
"71","CWHms5","CWHms5/101.2","Plc",NA,"Pl",3,"inputed",NA
"72","CWHds1","CWHds1/110","Mv",NA,"Mv",2,"inputed",NA
"73","CWHdm2","CWHdm2/101","Ba",NA,"Ba",2,"inputed",NA
"74","CWHdm2","CWHdm2/101","Tw",NA,"Tw",4,"inputed",NA
"75","SBSmc2","SBSmc2/06","Hw",NA,"Hw",3,"inputed",NA
"76","SBSmc2","SBSmc2/01","Ac",NA,"Ac",3,"inputed",NA
"77","SBSmc2","SBSmc2/05","Hw",NA,"Hw",3,"inputed",NA
"78","BWBSmw","BWBSmw/103","Bl",NA,"Bl",3,"inputed",NA
"79","BWBSwk1","BWBSwk1/101","Ep",NA,"Ep",3,"inputed",NA
"80","BWBSmw","BWBSmw/104","Ac",NA,"Ac",3,"inputed",NA
"81","BWBSwk2","BWBSwk2/102","Bl",NA,"Bl",2,"inputed",NA
"82","BWBSwk2","BWBSwk2/110","Bl",NA,"Bl",3,"inputed",NA
"83","BWBSwk1","BWBSwk1/103","Sb",NA,"Sb",2,"inputed",NA
"84","BWBSwk1","BWBSwk1/101","Ac",NA,"Ac",2,"inputed",NA
"85","CWHvh2","CWHvh2/104","Hm",NA,"Hm",2,"inputed",NA
"86","CWHms5","CWHms5/102","Sx",NA,"Sx",4,"inputed",NA
"87","CWHvm1","CWHvm1/112","Hm",NA,"Hm",3,"inputed",NA
"88","CWHvm1","CWHvm1/112.2","Hm",NA,"Hm",3,"inputed",NA
"89","CWHvm3","CWHvm3/112","Hm",NA,"Hm",3,"inputed",NA
"90","CWHvm3","CWHvm3/112.2","Hm",NA,"Hm",3,"inputed",NA
"91","BWBSmk","BWBSmk/111","Bl",NA,"Bl",4,"inputed",NA
"92","SBSdw3","SBSdw3/03","Bl",NA,"Bl",3,"inputed",NA
"93","SBSmk1","SBSmk1/06","Ep",NA,"Ep",3,"inputed",NA
"94","ESSFvc","ESSFvc/01","Hw",NA,"Hw",2,"inputed",NA
"95","BWBSmw","BWBSmw/104","Bl",NA,"Bl",3,"inputed",NA
"96","BWBSwk1","BWBSwk1/110","Bl",NA,"Bl",2,"inputed",NA
"97","BWBSwk1","BWBSwk1/111","Ep",NA,"Ep",2,"inputed",NA
"98","BWBSwk1","BWBSwk1/111","Bl",NA,"Bl",1,"inputed",NA
"99","MSdm1","MSdm1/101","Cw",NA,"Cw",3,"inputed",NA
"100","CWHvm2","CWHvm2/111.1","Tw",NA,"Tw",3,"inputed",NA
"101","CWHms3","CWHms3/101","Bl",NA,"Bl",2,"inputed",NA
"102","IDFdk3","IDFdk3/06","Sx",NA,"Sx",4,"inputed",NA
"103","ICHdw1","ICHdw1/104","Tw",NA,"Tw",3,"inputed",NA
"104","CWHdm2","CWHdm2/112.1","Ss",NA,"Ss",3,"inputed",NA
"105","CWHvm1","CWHvm1/112.1","Hm",NA,"Hm",2,"inputed",NA
"106","CWHvm3","CWHvm3/112.1","Hm",NA,"Hm",2,"inputed",NA
"107","CWHvm1","CWHvm1/110","Hm",NA,"Hm",2,"inputed",NA
"108","CWHvm3","CWHvm3/110","Hm",NA,"Hm",2,"inputed",NA
"109","CWHvm3","CWHvm3/103","Hm",NA,"Hm",2,"inputed",NA
"110","CWHvm1","CWHvm1/105","Hm",NA,"Hm",2,"inputed",NA
"111","CWHvm3","CWHvm3/104","Hm",NA,"Hm",2,"inputed",NA
"112","CWHvh3","CWHvh3/114","Ba",NA,"Ba",2,"inputed",NA
"113","CWHvh2","CWHvh2/105","Hm",NA,"Hm",2,"inputed",NA
"114","CWHvh3","CWHvh3/106","Hm",NA,"Hm",2,"inputed",NA
"115","MSdm2","MSdm2/101","Cw",NA,"Cw",3,"inputed",NA
"116","ICHxm1","ICHxm1/104.1","Cw",NA,"Cw",3,"inputed",NA
"117","ESSFdc2","ESSFdc2/101","Fdi",NA,"Fd",3,"inputed",NA
"118","CWHvm1","CWHvm1/102","Hm",NA,"Hm",3,"inputed",NA
"119","CWHvm1","CWHvm1/103","Tw",NA,"Tw",3,"inputed",NA
"120","CWHvh1","CWHvh1/103","Fdc",NA,"Fd",3,"inputed",NA
"121","ESSFmm3","ESSFmm3/103","Hw",NA,"Hw",3,"inputed",NA
"122","CWHws3","CWHws3/101","Ss",NA,"Ss",2,"inputed",NA
"123","MHmm1","MHmm1/102","Plc",NA,"Pl",2,"inputed",NA
"124","CWHvm1","CWHvm1/111.1","Hm",NA,"Hm",2,"inputed",NA
"125","CWHvm3","CWHvm3/111.1","Hm",NA,"Hm",2,"inputed",NA
"126","CWHws3","CWHws3/Fm50","Hw",NA,"Hw",1,"inputed",NA
"127","CWHvm3","CWHvm3/102","Hm",NA,"Hm",3,"inputed",NA
"128","CWHvm2","CWHvm2/102","Ba",NA,"Ba",3,"inputed",NA
"129","CWHvm4","CWHvm4/102","Ba",NA,"Ba",3,"inputed",NA
"130","CWHvm1","CWHvm1/Fl51","Yc",NA,"Yc",1,"inputed",NA
"131","CWHvm3","CWHvm3/Fl51","Yc",NA,"Yc",1,"inputed",NA
"132","CWHvm1","CWHvm1/Fl51","Hw",NA,"Hw",1,"inputed",NA
"133","CWHvm3","CWHvm3/Fl51","Hw",NA,"Hw",1,"inputed",NA
"134","CWHvm1","CWHvm1/Fl51","Cw",NA,"Cw",2,"inputed",NA
"135","CWHvm3","CWHvm3/Fl51","Cw",NA,"Cw",2,"inputed",NA
"136","CWHvh2","CWHvh2/103","Hm",NA,"Hm",2,"inputed",NA
"137","CWHvh2","CWHvh2/112","Yc",NA,"Yc",1,"inputed",NA
"138","CWHvh3","CWHvh3/112","Yc",NA,"Yc",1,"inputed",NA
"139","CWHvh2","CWHvh2/112","Hm",NA,"Hm",3,"inputed",NA
"140","CWHvh3","CWHvh3/112","Hm",NA,"Hm",3,"inputed",NA
"141","CWHvm1","CWHvm1/Ws54","Yc",NA,"Yc",2,"inputed",NA
"142","CWHvm1","CWHvm1/Ws56","Yc",NA,"Yc",2,"inputed",NA
"143","CWHvm3","CWHvm3/Ws54","Yc",NA,"Yc",2,"inputed",NA
"144","CWHvm3","CWHvm3/Ws56","Yc",NA,"Yc",2,"inputed",NA
"145","CWHvh3","CWHvh3/117","Hm",NA,"Hm",2,"inputed",NA
"146","SBPSxc","SBPSxc/05","Hw",NA,"Hw",1,"inputed",NA
"147","CWHvm1","CWHvm1/113","Pw",NA,"Pw",3,"inputed",NA
"148","MSdw","MSdw/101","Hw",NA,"Hw",3,"inputed",NA
"149","MSdk","MSdk/101","Hw",NA,"Hw",3,"inputed",NA
"150","ICHmw4","ICHmw4/102","Cw",NA,"Cw",3,"inputed",NA
"151","ICHmw2","ICHmw2/101","Tw",NA,"Tw",3,"inputed",NA
"152","ICHmw4","ICHmw4/103","Sx",NA,"Sx",3,"inputed",NA
"153","ESSFmm3","ESSFmm3/110","Hw",NA,"Hw",3,"inputed",NA
"154","IDFdk5","IDFdk5/101","Bl",NA,"Bl",3,"inputed",NA
"155","ESSFdk2","ESSFdk2/111","Hw",NA,"Hw",4,"inputed",NA
"156","ESSFdk2","ESSFdk2/111","Pli",NA,"Pl",2,"inputed",NA
"157","CWHws2","CWHws2/101","Fdc",NA,"Fd",2,"inputed",NA
"158","CWHws2","CWHws2/110","Fdc",NA,"Fd",2,"inputed",NA
"159","CWHds2","CWHds2/101","Ba",NA,"Ba",2,"inputed",NA
"160","CWHws2","CWHws2/101","Yc",NA,"Yc",2,"inputed",NA
"161","CWHds1","CWHds1/101","Yc",NA,"Yc",2,"inputed",NA
"162","CWHds1","CWHds1/101a","Yc",NA,"Yc",2,"inputed",NA
"163","CWHms5","CWHms5/103.1","Hm",NA,"Hm",2,"inputed",NA
"164","CWHms4","CWHms4/105","Yc",NA,"Yc",2,"inputed",NA
"165","CWHms3","CWHms3/112","Hm",NA,"Hm",3,"inputed",NA
"166","CWHms4","CWHms4/112","Hm",NA,"Hm",2,"inputed",NA
"167","CWHms5","CWHms5/112","Hm",NA,"Hm",3,"inputed",NA
"168","CWHms3","CWHms3/101","Pw",NA,"Pw",3,"inputed",NA
"169","CWHdm2","CWHdm2/103","Cw",NA,"Cw",3,"inputed",NA
"170","CWHvm1","CWHvm1/110","Tw",NA,"Tw",3,"inputed",NA
"171","ESSFxc2","ESSFxc2/111","Pli",NA,"Pl",3,"inputed",NA
"172","CWHms5","CWHms5/103.2","Bg",NA,"Bg",3,"inputed",NA
"173","CWHms5","CWHms5/103.2","Mv",NA,"Mv",3,"inputed",NA
"174","CWHxs","CWHxs/101.2","Ba",NA,"Ba",4,"inputed",NA
"175","CWHws2","CWHws2/102","Ac",NA,"Ac",4,"inputed",NA
"176","CWHws2","CWHws2/101","At",NA,"At",3,"inputed",NA
"177","CWHws2","CWHws2/110","Plc",NA,"Pl",4,"inputed",NA
"178","ICHvc","ICHvc/02","Ac",NA,"Ac",4,"inputed",NA
"179","ICHmc1","ICHmc1/02","Ep",NA,"Ep",3,"inputed",NA
"180","CWHws2","CWHws2/102","Sx",NA,"Sx",3,"inputed",NA
"181","ICHmc1","ICHmc1/02","Ac",NA,"Ac",4,"inputed",NA
"182","BWBSdk","BWBSdk/104","Ac",NA,"Ac",3,"inputed",NA
"183","MSdk","MSdk/103","Cw",NA,"Cw",3,"inputed",NA
"184","CWHvh3","CWHvh3/101a","Tw",NA,"Tw",3,"inputed",NA
"185","CWHvh3","CWHvh3/115","Tw",NA,"Tw",3,"inputed",NA
"186","CWHvm1","CWHvm1/101","Pw",NA,"Pw",3,"inputed",NA
"187","CWHvm1","CWHvm1/111","Pw",NA,"Pw",3,"inputed",NA
"188","CWHvm3","CWHvm3/101","Pw",NA,"Pw",3,"inputed",NA
"189","CWHvm3","CWHvm3/111","Pw",NA,"Pw",3,"inputed",NA
"190","CWHvm3","CWHvm3/111.2","Pw",NA,"Pw",3,"inputed",NA
"191","CWHvm2","CWHvm2/101","Bl",NA,"Bl",3,"inputed",NA
"192","CWHvm1","CWHvm1/110","Mv",NA,"Mv",3,"inputed",NA
"193","ICHmw5","ICHmw5/103","Tw",NA,"Tw",4,"inputed",NA
"194","CWHdm2","CWHdm2/112.1","Ba",NA,"Ba",3,"inputed",NA
"195","CWHdm2","CWHdm2/102","Cw",NA,"Cw",3,"inputed",NA
"196","CWHdm2","CWHdm2/111","Ba",NA,"Ba",2,"inputed",NA
"197","CWHdm2","CWHdm2/110","Ss",NA,"Ss",2,"inputed",NA
"198","CWHdm2","CWHdm2/112.2","Ss",NA,"Ss",1,"inputed",NA
"199","CWHdm2","CWHdm2/104","Ba",NA,"Ba",3,"inputed",NA
"200","CWHvm2","CWHvm2/101","Tw",NA,"Tw",3,"inputed",NA
"201","CWHvm1","CWHvm1/112.2","Fdc",NA,"Fd",3,"inputed",NA
"202","CWHvm1","CWHvm1/102","Ba",NA,"Ba",3,"inputed",NA
"203","ICHmk1","ICHmk1/112","Tw",NA,"Tw",3,"inputed",NA
"204","MHmm2","MHmm2/113","Bl",NA,"Bl",1,"inputed",NA
"205","MHmm2","MHmm2/112","Fdc",NA,"Fd",2,"inputed",NA
"206","MSxk1","MSxk1/103","Sx",NA,"Sx",3,"inputed",NA
"207","IDFdk1","IDFdk1/105","Sx",NA,"Sx",3,"inputed",NA
"208","IDFdk1","IDFdk1/103","At",NA,"At",3,"inputed",NA
"209","MSdk","MSdk/102","Sx",NA,"Sx",3,"inputed",NA
"210","ESSFdkw","ESSFdkw/101","Pa",NA,"Pa",3,"inputed",NA
"211","CDFmm","CDFmm/Ws53","Fdi",NA,"Fd",3,"inputed",NA
"212","CDFmm","CDFmm/105","Tw",NA,"Tw",3,"inputed",NA
"213","ICHmk2","ICHmk2/06","Fdi",NA,"Fd",2,"inputed",NA
"214","ESSFwc2","ESSFwc2/05","Hw",NA,"Hw",3,"inputed",NA
"215","CWHvh3","CWHvh3/Wb53","Hw",NA,"Hw",3,"inputed",NA
"216","CWHws3","CWHws3/102","Hm",NA,"Hm",3,"inputed",NA
"217","MHwh","MHwh/101a","Hm",NA,"Hm",1,"inputed",NA
"218","MHwh","MHwh/101a","Ss",NA,"Ss",2,"inputed",NA
"219","MHwh","MHwh/101b","Hw",NA,"Hw",1,"inputed",NA
"220","MHwh","MHwh/101b","Ss",NA,"Ss",2,"inputed",NA
"221","MHwh","MHwh/101b","Yc",NA,"Yc",1,"inputed",NA
"222","MHwh","MHwh/101b","Hm",NA,"Hm",1,"inputed",NA
"223","SWBmk","SWBmk/01","Sb",NA,"Sb",3,"inputed",NA
"224","CWHwh1","CWHwh1/115","Tw",NA,"Tw",3,"inputed",NA
"225","IDFxx2","IDFxx2/101","Pli",NA,"Pl",3,"inputed",NA
"226","ICHwk1","ICHwk1/04","Tw",NA,"Tw",3,"inputed",NA
"227","CWHvh3","CWHvh3/115","Hm",NA,"Hm",3,"inputed",NA
"228","MHwh","MHwh/102","Hw",NA,"Hw",3,"inputed",NA
"229","CWHvh3","CWHvh3/103.2","Ss",NA,"Ss",1,"inputed",NA
"230","CWHvh3","CWHvh3/105","Hm",NA,"Hm",3,"inputed",NA
"231","MHwh","MHwh/101a","Yc",NA,"Yc",2,"inputed",NA
"232","CWHvh3","CWHvh3/103.1","Hw",NA,"Hw",1,"inputed",NA
"233","CWHvh3","CWHvh3/103.1","Ss",NA,"Ss",2,"inputed",NA
"234","CWHvm1","CWHvm1/Fl51","Hm",NA,"Hm",2,"inputed",NA
"235","CWHvm3","CWHvm3/Fl51","Hm",NA,"Hm",2,"inputed",NA
"236","CWHvm1","CWHvm1/Fl51","Tw",NA,"Tw",3,"inputed",NA
"237","CWHvm3","CWHvm3/Fl51","Tw",NA,"Tw",3,"inputed",NA
"238","CWHvm1","CWHvm1/Fl51","Plc",NA,"Pl",2,"inputed",NA
"239","CWHvm3","CWHvm3/Fl51","Plc",NA,"Pl",2,"inputed",NA
"240","CWHvm1","CWHvm1/Wb51","Ba",NA,"Ba",2,"inputed",NA
"241","CWHvm1","CWHvm1/Wb55","Ba",NA,"Ba",2,"inputed",NA
"242","CWHvm3","CWHvm3/Wb51","Ba",NA,"Ba",2,"inputed",NA
"243","CWHvm3","CWHvm3/Wb53","Ba",NA,"Ba",2,"inputed",NA
"244","CWHvm1","CWHvm1/105","Yc",NA,"Yc",2,"inputed",NA
"245","CWHvm3","CWHvm3/104","Yc",NA,"Yc",2,"inputed",NA
"246","CWHvh2","CWHvh2/110","Hm",NA,"Hm",2,"inputed",NA
"247","CWHvh3","CWHvh3/110","Hm",NA,"Hm",2,"inputed",NA
"248","MHvh","MHvh/102","Hw",NA,"Hw",3,"inputed",NA
"249","CWHvm2","CWHvm2/112","Dr",NA,"Dr",2,"inputed",NA
"250","CWHvm2","CWHvm2/112.2","Dr",NA,"Dr",2,"inputed",NA
"251","CWHvm4","CWHvm4/112","Dr",NA,"Dr",2,"inputed",NA
"252","CWHvh3","CWHvh3/105","Ba",NA,"Ba",2,"inputed",NA
"253","CWHvh2","CWHvh2/101","Tw",NA,"Tw",3,"inputed",NA
"254","CWHvh2","CWHvh2/102","Hm",NA,"Hm",3,"inputed",NA
"255","CWHvh2","CWHvh2/Wb53","Hm",NA,"Hm",3,"inputed",NA
"256","CWHvh3","CWHvh3/Wb53","Hm",NA,"Hm",3,"inputed",NA
"257","CWHvh2","CWHvh2/113","Ba",NA,"Ba",3,"inputed",NA
"258","CWHvh2","CWHvh2/113","Tw",NA,"Tw",4,"inputed",NA
"259","IDFdk5","IDFdk5/103","Pli",NA,"Pl",3,"inputed",NA
"260","ICHmc2","ICHmc2/04","Ss",NA,"Ss",3,"inputed",NA
"261","CWHwm","CWHwm/Fm50","Yc",NA,"Yc",2,"inputed",NA
"262","CWHwm","CWHwm/101b","Yc",NA,"Yc",1,"inputed",NA
"263","ESSFwm3","ESSFwm3/104","Pa",NA,"Pa",3,"inputed",NA
"264","CWHds1","CWHds1/110","Tw",NA,"Tw",3,"inputed",NA
"265","CWHms5","CWHms5/101.2","Ss",NA,"Ss",3,"inputed",NA
"266","MHmm2","MHmm2/101a","Pw",NA,"Pw",4,"inputed",NA
"267","CWHmm1","CWHmm1/101","Yc",NA,"Yc",3,"inputed",NA
"268","ESSFwm4","ESSFwm4/110","At",NA,"At",3,"inputed",NA
"269","ESSFwc4","ESSFwc4/102","Cw",NA,"Cw",4,"inputed",NA
"270","ICHmw4","ICHmw4/103","Bg",NA,"Bg",3,"inputed",NA
"271","ICHwk1","ICHwk1/03","Tw",NA,"Tw",3,"inputed",NA
"272","ICHdm","ICHdm/110","Tw",NA,"Tw",3,"inputed",NA
"273","ICHmk4","ICHmk4/101","Tw",NA,"Tw",3,"inputed",NA
"274","MSdw","MSdw/102","Lw",NA,"Lw",3,"inputed",NA
"275","ESSFdh1","ESSFdh1/104","Pw",NA,"Pw",3,"inputed",NA
"276","ESSFdh1","ESSFdh1/104","Hw",NA,"Hw",3,"inputed",NA
"277","ESSFmw1","ESSFmw1/103","Ba",NA,"Ba",3,"inputed",NA
"278","ESSFmw1","ESSFmw1/105","Pw",NA,"Pw",3,"inputed",NA
"279","ESSFmw1","ESSFmw1/110","Ba",NA,"Ba",2,"inputed",NA
"280","ESSFdh1","ESSFdh1/101","Pw",NA,"Pw",3,"inputed",NA
"281","CWHwh1","CWHwh1/102","Yc",NA,"Yc",3,"inputed",NA
"282","CWHmm1","CWHmm1/103","Yc",NA,"Yc",3,"inputed",NA
"283","CDFmm","CDFmm/112","Ss",NA,"Ss",3,"inputed",NA
"284","CDFmm","CDFmm/111","Bg",NA,"Bg",3,"inputed",NA
"285","CWHvm3","CWHvm3/110","Tw",NA,"Tw",4,"inputed",NA
"286","CWHdm3","CWHdm3/110","Ba",NA,"Ba",3,"inputed",NA
"287","CWHdm3","CWHdm3/110","Ss",NA,"Ss",3,"inputed",NA
"288","MHmm1","MHmm1/104","Cw",NA,"Cw",3,"inputed",NA
"289","CWHvm2","CWHvm2/111.1","Pw",NA,"Pw",2,"inputed",NA
"290","CWHvm4","CWHvm4/111","Pw",NA,"Pw",2,"inputed",NA
"291","CWHvm1","CWHvm1/102","Pw",NA,"Pw",3,"inputed",NA
"292","MHmm1","MHmm1/110","Cw",NA,"Cw",3,"inputed",NA
"293","CWHvm2","CWHvm2/102","Pw",NA,"Pw",3,"inputed",NA
"294","CDFmm","CDFmm/105","Hw",NA,"Hw",2,"inputed",NA
"295","CWHvm1","CWHvm1/114","Yc",NA,"Yc",2,"inputed",NA
"296","CWHvm3","CWHvm3/114","Yc",NA,"Yc",2,"inputed",NA
"297","MHmm1","MHmm1/111","Cw",NA,"Cw",2,"inputed",NA
"298","CWHvm1","CWHvm1/114","Hm",NA,"Hm",2,"inputed",NA
"299","CWHvm3","CWHvm3/114","Hm",NA,"Hm",2,"inputed",NA
"300","CWHvm1","CWHvm1/113","Tw",NA,"Tw",4,"inputed",NA
"301","CWHvm3","CWHvm3/113","Tw",NA,"Tw",3,"inputed",NA
"302","CWHvm3","CWHvm3/113","Ba",NA,"Ba",3,"inputed",NA
"303","IDFdk2","IDFdk2/110","Ac",NA,"Ac",3,"inputed",NA
"304","MSdc3","MSdc3/04","Fdi",NA,"Fd",2,"inputed",NA
"305","ESSFxc3","ESSFxc3/04","Pli",NA,"Pl",1,"inputed",NA
"306","MSxk3","MSxk3/03","Pli",NA,"Pl",1,"inputed",NA
"307","MSdc1","MSdc1/05","Fdi",NA,"Fd",2,"inputed",NA
"308","MSdc1","MSdc1/05","Pli",NA,"Pl",1,"inputed",NA
"309","ESSFxv2","ESSFxv2/03","At",NA,"At",3,"inputed",NA
"310","IDFdc","IDFdc/03","At",NA,"At",3,"inputed",NA
"311","MSdc3","MSdc3/02","Bl",NA,"Bl",3,"inputed",NA
"312","CWHwh1","CWHwh1/101","Yc",NA,"Yc",3,"inputed",NA
"313","CWHwh1","CWHwh1/Wb51","Hm",NA,"Hm",2,"inputed",NA
"314","CWHwh1","CWHwh1/102","Tw",NA,"Tw",3,"inputed",NA
"315","CWHwh1","CWHwh1/116","Hm",NA,"Hm",2,"inputed",NA
"316","SWBmk","SWBmk/03","Sb",NA,"Sb",2,"inputed",NA
"317","SWBmk","SWBmk/03","Bl",NA,"Bl",2,"inputed",NA
"318","CWHvm4","CWHvm4/113","Tw",NA,"Tw",4,"inputed",NA
"319","CWHmm1","CWHmm1/110","Bg",NA,"Bg",3,"inputed",NA
"320","ICHmw2","ICHmw2/101","Pli",NA,"Pl",3,"inputed",NA
"321","ICHmw2","ICHmw2/103","Sx",NA,"Sx",4,"inputed",NA
"322","ESSFwc4","ESSFwc4/103","Cw",NA,"Cw",4,"inputed",NA
"323","ICHmw5","ICHmw5/101","Pa",NA,"Pa",3,"inputed",NA
"324","ESSFmh","ESSFmh/103","At",NA,"At",3,"inputed",NA
"325","ESSFwm3","ESSFwm3/101","Hw",NA,"Hw",4,"inputed",NA
"326","MSxk2","MSxk2/104","Sx",NA,"Sx",3,"inputed",NA
"327","ESSFdc2","ESSFdc2/101","Ba",NA,"Ba",2,"inputed",NA
"328","IDFww","IDFww/101","Bg",NA,"Bg",3,"inputed",NA
"329","CWHxs","CWHxs/101","Mb",NA,"Mb",3,"inputed",NA
"330","ICHdw4","ICHdw4/104","Tw",NA,"Tw",3,"inputed",NA
"331","ICHvk1","ICHvk1/04","Tw",NA,"Tw",3,"inputed",NA
"332","IDFxh1","IDFxh1/111","At",NA,"At",1,"inputed",NA
"333","IDFxh1","IDFxh1/110","Ep",NA,"Ep",3,"inputed",NA
"334","ICHxm1","ICHxm1/101","Sx",NA,"Sx",3,"inputed",NA
"335","ESSFmww","ESSFmww/103","Pa",NA,"Pa",3,"inputed",NA
"336","CWHvm2","CWHvm2/110","Bl",NA,"Bl",1,"inputed",NA
"337","CWHvm1","CWHvm1/101","Mv",NA,"Mv",3,"inputed",NA
"338","CWHds1","CWHds1/104","Tw",NA,"Tw",3,"inputed",NA
"339","CWHxs","CWHxs/101","Mv",NA,"Mv",2,"inputed",NA
"340","IDFww","IDFww/101","Mv",NA,"Mv",2,"inputed",NA
