"","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange"
"1","ESSFdc2","ESSFdc2/101","At",NA,"At",3,"inputed",NA
"2","MSdm2","MSdm2/104","At",NA,"At",3,"inputed",NA
"3","IDFdk1","IDFdk1/111","Fdi",NA,"Fd",2,"inputed",NA
"4","MSdm2","MSdm2/101","Ac",NA,"Ac",3,"inputed",NA
"5","MSdm2","MSdm2/105","Fdi",NA,"Fd",3,"inputed",NA
"6","IDFdk2","IDFdk2/110","Pli",NA,"Pl",3,"inputed",NA
"7","MSdm2","MSdm2/101","At",NA,"At",4,"inputed",NA
"8","IDFdk2","IDFdk2/101","Ac",NA,"Ac",4,"inputed",NA
"9","MSdm3","MSdm3/05","At",NA,"At",3,"inputed",NA
"10","ESSFdc3","ESSFdc3/05","Fdi",NA,"Fd",3,"inputed",NA
"11","ICHmw2","ICHmw2/110","Tw",NA,"Tw",3,"inputed",NA
"12","IDFdm2","IDFdm2/103","Sx",NA,"Sx",2,"inputed",NA
"13","MSdw","MSdw/111","Pli",NA,"Pl",2,"inputed",NA
"14","MSdw","MSdw/111","Lw",NA,"Lw",3,"inputed",NA
"15","MSdk","MSdk/111","Lw",NA,"Lw",3,"inputed",NA
"16","MSdk","MSdk/111","Fdi",NA,"Fd",4,"inputed",NA
"17","ICHdw1","ICHdw1/111","Tw",NA,"Tw",3,"inputed",NA
"18","CWHvm1","CWHvm1/103","Hm",NA,"Hm",2,"inputed",NA
"19","CWHvm1","CWHvm1/103","Yc",NA,"Yc",2,"inputed",NA
"20","CWHvm1","CWHvm1/113","Ba",NA,"Ba",3,"inputed",NA
"21","CWHvh3","CWHvh3/101","Ba",NA,"Ba",2,"inputed",NA
"22","CWHvh3","CWHvh3/110","Ba",NA,"Ba",1,"inputed",NA
"23","ESSFmh","ESSFmh/110","Lw",NA,"Lw",3,"inputed",NA
"24","ESSFmh","ESSFmh/111","Lw",NA,"Lw",3,"inputed",NA
"25","ICHmk4","ICHmk4/110","Pli",NA,"Pl",3,"inputed",NA
