Source,BGC,SS_NoSpace,Edatopic
BECv13,SBSvc,SBSvc/101,B4
BECv13,SBSvc,SBSvc/101,C4
BECv13,SBSvc,SBSvc/101,D4
BECv13,SBSvc,SBSvc/101,B5
BECv13,SBSvc,SBSvc/101,C5
BECv13,SBSvc,SBSvc/101,D5
BECv13,SBSvc,SBSvc/102,A1
BECv13,SBSvc,SBSvc/102,B1
BECv13,SBSvc,SBSvc/102,C1
BECv13,SBSvc,SBSvc/102,A0
BECv13,SBSvc,SBSvc/102,B0
BECv13,SBSvc,SBSvc/102,C0
BECv13,SBSvc,SBSvc/103,B2
BECv13,SBSvc,SBSvc/103,B3
BECv13,SBSvc,SBSvc/103,C2
BECv13,SBSvc,SBSvc/103,C3
BECv13,SBSvc,SBSvc/104,A2
BECv13,SBSvc,SBSvc/104,A3
BECv13,SBSvc,SBSvc/104,A4
BECv13,SBSvc,SBSvc/104,B2
BECv13,SBSvc,SBSvc/104,B3
BECv13,SBSvc,SBSvc/104,B4
BECv13,SBSvc,SBSvc/105,B4
BECv13,SBSvc,SBSvc/105,C4
BECv13,SBSvc,SBSvc/105,D4
BECv13,SBSvc,SBSvc/105,B3
BECv13,SBSvc,SBSvc/105,C3
BECv13,SBSvc,SBSvc/105,D3
BECv13,SBSvc,SBSvc/110,B5
BECv13,SBSvc,SBSvc/110,C5
BECv13,SBSvc,SBSvc/110,D5
BECv13,SBSvc,SBSvc/110,B6
BECv13,SBSvc,SBSvc/110,C6
BECv13,SBSvc,SBSvc/110,D6
BECv13,SBSmz,SBSmz/101,B2
BECv13,SBSmz,SBSmz/101,B3
BECv13,SBSmz,SBSmz/101,B4
BECv13,SBSmz,SBSmz/101,C2
BECv13,SBSmz,SBSmz/101,C3
BECv13,SBSmz,SBSmz/101,C4
BECv13,SBSmz,SBSmz/101,D2
BECv13,SBSmz,SBSmz/101,D3
BECv13,SBSmz,SBSmz/102,A0
BECv13,SBSmz,SBSmz/102,A1
BECv13,SBSmz,SBSmz/102,B0
BECv13,SBSmz,SBSmz/102,B1
BECv13,SBSmz,SBSmz/103,B2
BECv13,SBSmz,SBSmz/103,C1
BECv13,SBSmz,SBSmz/103,C2
BECv13,SBSmz,SBSmz/103,D1
BECv13,SBSmz,SBSmz/103,D2
BECv13,SBSmz,SBSmz/104,A2
BECv13,SBSmz,SBSmz/104,A3
BECv13,SBSmz,SBSmz/104,A4
BECv13,SBSmz,SBSmz/104,A5
BECv13,SBSmz,SBSmz/104,B2
BECv13,SBSmz,SBSmz/104,B3
BECv13,SBSmz,SBSmz/104,B4
BECv13,SBSmz,SBSmz/104,B5
BECv13,SBSmz,SBSmz/110,D4
BECv13,SBSmz,SBSmz/110,D5
BECv13,SBSmz,SBSmz/110,C5
BECv13,SBSmz,SBSmz/110,B5
BECv13,SBSmz,SBSmz/111,D5
BECv13,SBSmz,SBSmz/111,D6
BECv13,SBSmz,SBSmz/111,E4
BECv13,SBSmz,SBSmz/111,E5
BECv13,SBSmz,SBSmz/111,E6
BECv13,SBSmz,SBSmz/112,B5
BECv13,SBSmz,SBSmz/112,B6
BECv13,SBSmz,SBSmz/112,C5
BECv13,SBSmz,SBSmz/112,C6
BECv13,SBSmz,SBSmz/112,D5
BECv13,SBSmz,SBSmz/112,D6
BECv13,SBSmz,SBSmz/113,B6
BECv13,SBSmz,SBSmz/113,B7
BECv13,SBSmz,SBSmz/113,C6
BECv13,SBSmz,SBSmz/113,C7
BECv13,SBSmz,SBSmz/114,C6
BECv13,SBSmz,SBSmz/114,C7
BECv13,SBSmz,SBSmz/114,D6
BECv13,SBSmz,SBSmz/114,D7
BECv13,SBSmz,SBSmz/114,E6
BECv13,SBSmz,SBSmz/114,E7
BECv13,ESSFwc7,ESSFwc7/101,B3
BECv13,ESSFwc7,ESSFwc7/101,C3
BECv13,ESSFwc7,ESSFwc7/101,D3
BECv13,ESSFwc7,ESSFwc7/101,B4
BECv13,ESSFwc7,ESSFwc7/101,C4
BECv13,ESSFwc7,ESSFwc7/101,D4
BECv13,ESSFwc7,ESSFwc7/102,A1
BECv13,ESSFwc7,ESSFwc7/102,B1
BECv13,ESSFwc7,ESSFwc7/102,C1
BECv13,ESSFwc7,ESSFwc7/102,A2
BECv13,ESSFwc7,ESSFwc7/102,B2
BECv13,ESSFwc7,ESSFwc7/102,C2
BECv13,ESSFwc7,ESSFwc7/103,A2
BECv13,ESSFwc7,ESSFwc7/103,B2
BECv13,ESSFwc7,ESSFwc7/103,C2
BECv13,ESSFwc7,ESSFwc7/103,A3
BECv13,ESSFwc7,ESSFwc7/103,B3
BECv13,ESSFwc7,ESSFwc7/103,C3
BECv13,ESSFwc7,ESSFwc7/110,C5
BECv13,ESSFwc7,ESSFwc7/110,C6
BECv13,ESSFwc7,ESSFwc7/110,D5
BECv13,ESSFwc7,ESSFwc7/110,D6
BECv13,ESSFwc7,ESSFwc7/111,B6
BECv13,ESSFwc7,ESSFwc7/111,C6
BECv13,ESSFwc7,ESSFwc7/111,D6
BECv13,ESSFwc7,ESSFwc7/111,E6
BECv13,ESSFwc7,ESSFwc7/111,B7
BECv13,ESSFwc7,ESSFwc7/111,C7
BECv13,ESSFwc7,ESSFwc7/111,D7
BECv13,ESSFwc7,ESSFwc7/111,E7
