bgc,ss_nospace,sppsplit,suitability,spp,newsuit,mod,outrange,Zone,Note
BAFAunp,BAFAunp/00,Bl,1,Bl,,,FALSE,BAFA,imputed
BAFAunp,BAFAunp/00,Hm,3,Hm,,,FALSE,BAFA,imputed
BAFAunp,BAFAunp/00,Pa,3,Pa,,,FALSE,BAFA,imputed
BGxh2,BGxh1/Fm01,Act,1,Ac,,,FALSE,BG,NA
BGxh2,BGxh1/Fm06,Act,1,Ac,,,FALSE,BG,NA
BGxh2,BGxh2/Fm01,Act,1,Ac,,,FALSE,BG,NA
BGxh2,BGxh2/Fm06,Act,1,Ac,,,FALSE,BG,NA
BGxh2,BGxh1/Fm01,At,2,At,,,FALSE,BG,NA
BGxh2,BGxh1/Fm06,At,2,At,,,FALSE,BG,NA
BGxh2,BGxh2/Fm01,At,2,At,,,FALSE,BG,NA
BGxh2,BGxh2/Fm06,At,2,At,,,FALSE,BG,NA
BGxh2,BGxh1/Fm01,Ep,2,Ep,,,FALSE,BG,NA
BGxh2,BGxh1/Fm06,Ep,2,Ep,,,FALSE,BG,NA
BGxh2,BGxh2/Fm01,Ep,2,Ep,,,FALSE,BG,NA
BGxh2,BGxh2/Fm06,Ep,2,Ep,,,FALSE,BG,NA
BGxh2,BGxh1/Fm01,Fdi,3,Fd,,,FALSE,BG,NA
BGxh2,BGxh1/Fm06,Fdi,3,Fd,,,FALSE,BG,NA
BGxh2,BGxh2/Fm01,Fdi,3,Fd,,,FALSE,BG,NA
BGxh2,BGxh2/Fm06,Fdi,3,Fd,,,FALSE,BG,NA
BGxh2,BGxh1/Fm01,Pyi,3,Py,,,FALSE,BG,NA
BGxh2,BGxh1/Fm06,Pyi,3,Py,,,FALSE,BG,NA
BGxh2,BGxh2/Fm01,Pyi,3,Py,,,FALSE,BG,NA
BGxh2,BGxh2/Fm06,Pyi,3,Py,,,FALSE,BG,NA
BGxw1,BGxw1/Fm01,Act,1,Ac,,,FALSE,BG,NA
BGxw1,BGxw1/Fm05,Act,1,Ac,,,FALSE,BG,NA
BGxw1,BGxw1/Fm01,At,2,At,,,FALSE,BG,NA
BGxw1,BGxw1/Fm05,At,2,At,,,FALSE,BG,NA
BGxw1,BGxw1/Fm01,Ep,2,Ep,,,FALSE,BG,NA
BGxw1,BGxw1/Fm05,Ep,2,Ep,,,FALSE,BG,NA
BGxw1,BGxw1/Fm01,Fdi,3,Fd,,,FALSE,BG,NA
BGxw1,BGxw1/Fm05,Fdi,3,Fd,,,FALSE,BG,NA
BGxw1,BGxw1/Fm01,Pyi,3,Py,,,FALSE,BG,NA
BGxw1,BGxw1/Fm05,Pyi,3,Py,,,FALSE,BG,NA
BWBSdk,BWBSdk/104,Ac,3,Ac,,,FALSE,BWBS,imputed
BWBSdk,BWBSdk/102,Sb,5,Sb,,,FALSE,BWBS,NA
BWBSmk,BWBSmk/111,Bl,4,Bl,,,FALSE,BWBS,imputed
BWBSmk,BWBSmk/104,Lt,2,Lt,,,FALSE,BWBS,NA
BWBSmk,BWBSmk/104a,Lt,2,Lt,,,FALSE,BWBS,NA
BWBSmk,BWBSmk/104b,Lt,2,Lt,,,FALSE,BWBS,NA
