"","X","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange","Region"
"30",4526,"CWHwh1","CWHwh1/110","Dr",3,"Dr",3,NA,FALSE,"Coast"
"31",4527,"CWHwh1","CWHwh1/110","Hw",1,"Hw",1,NA,FALSE,"Coast"
"32",4528,"CWHwh1","CWHwh1/110","Plc",3,"Pl",3,NA,FALSE,"Coast"
"33",4529,"CWHwh1","CWHwh1/110","Ss",3,"Ss",3,NA,FALSE,"Coast"
"34",4531,"CWHwh1","CWHwh1/110a","Dr",3,"Dr",3,NA,FALSE,"Coast"
"35",4532,"CWHwh1","CWHwh1/110a","Hw",1,"Hw",1,NA,FALSE,"Coast"
"36",4533,"CWHwh1","CWHwh1/110a","Plc",3,"Pl",3,NA,FALSE,"Coast"
"37",4534,"CWHwh1","CWHwh1/110a","Ss",3,"Ss",3,NA,FALSE,"Coast"
"38",4536,"CWHwh1","CWHwh1/110b","Dr",3,"Dr",3,NA,FALSE,"Coast"
"39",4537,"CWHwh1","CWHwh1/110b","Hw",1,"Hw",1,NA,FALSE,"Coast"
"40",4538,"CWHwh1","CWHwh1/110b","Plc",3,"Pl",3,NA,FALSE,"Coast"
"41",4539,"CWHwh1","CWHwh1/110b","Ss",3,"Ss",3,NA,FALSE,"Coast"
"42",4541,"CWHwh1","CWHwh1/111","Dr",2,"Dr",2,NA,FALSE,"Coast"
"43",4542,"CWHwh1","CWHwh1/111","Hw",2,"Hw",2,NA,FALSE,"Coast"
"44",4543,"CWHwh1","CWHwh1/111","Ss",1,"Ss",1,NA,FALSE,"Coast"
"45",4545,"CWHwh1","CWHwh1/111a","Dr",2,"Dr",2,NA,FALSE,"Coast"
"46",4546,"CWHwh1","CWHwh1/111a","Hw",2,"Hw",2,NA,FALSE,"Coast"
"47",4547,"CWHwh1","CWHwh1/111a","Ss",1,"Ss",1,NA,FALSE,"Coast"
"48",4549,"CWHwh1","CWHwh1/111b","Dr",2,"Dr",2,NA,FALSE,"Coast"
"49",4550,"CWHwh1","CWHwh1/111b","Hw",2,"Hw",2,NA,FALSE,"Coast"
"50",4551,"CWHwh1","CWHwh1/111b","Ss",1,"Ss",1,NA,FALSE,"Coast"
"51",4553,"CWHwh1","CWHwh1/111c","Dr",2,"Dr",2,NA,FALSE,"Coast"
"52",4554,"CWHwh1","CWHwh1/111c","Hw",2,"Hw",2,NA,FALSE,"Coast"
"53",4555,"CWHwh1","CWHwh1/111c","Ss",1,"Ss",1,NA,FALSE,"Coast"
"54",4557,"CWHwh1","CWHwh1/112","Dr",1,"Dr",1,NA,FALSE,"Coast"
"55",4558,"CWHwh1","CWHwh1/112","Hw",2,"Hw",2,NA,FALSE,"Coast"
"56",4559,"CWHwh1","CWHwh1/112","Ss",1,"Ss",1,NA,FALSE,"Coast"
"57",4561,"CWHwh1","CWHwh1/113","Dr",1,"Dr",1,NA,FALSE,"Coast"
"58",4562,"CWHwh1","CWHwh1/113","Hw",3,"Hw",3,NA,FALSE,"Coast"
"59",4563,"CWHwh1","CWHwh1/113","Ss",1,"Ss",1,NA,FALSE,"Coast"
"60",4564,"CWHwh1","CWHwh1/114","Dr",1,"Dr",1,NA,FALSE,"Coast"
"61",4565,"CWHwh1","CWHwh1/114","Ss",3,"Ss",3,NA,FALSE,"Coast"
"62",4567,"CWHwh1","CWHwh1/115","Dr",3,"Dr",3,NA,FALSE,"Coast"
"63",4568,"CWHwh1","CWHwh1/115","Hm",3,"Hm",3,NA,FALSE,"Coast"
"64",4569,"CWHwh1","CWHwh1/115","Hw",2,"Hw",2,NA,FALSE,"Coast"
"65",4570,"CWHwh1","CWHwh1/115","Plc",3,"Pl",3,NA,FALSE,"Coast"
"66",4571,"CWHwh1","CWHwh1/115","Yc",2,"Yc",2,NA,FALSE,"Coast"
"67",4573,"CWHwh1","CWHwh1/116","Dr",2,"Dr",2,NA,FALSE,"Coast"
"68",4574,"CWHwh1","CWHwh1/116","Hw",2,"Hw",2,NA,FALSE,"Coast"
"69",4575,"CWHwh1","CWHwh1/116","Ss",1,"Ss",1,NA,FALSE,"Coast"
"70",4580,"CWHwh1","CWHwh1/117","Dr",3,"Dr",3,NA,FALSE,"Coast"
"71",4581,"CWHwh1","CWHwh1/117","Hw",3,"Hw",3,NA,FALSE,"Coast"
"72",4582,"CWHwh1","CWHwh1/117","Ss",2,"Ss",2,NA,FALSE,"Coast"
"73",4584,"CWHwh1","CWHwh1/118","Dr",3,"Dr",3,NA,FALSE,"Coast"
"74",4585,"CWHwh1","CWHwh1/118","Hw",3,"Hw",3,NA,FALSE,"Coast"
"75",4586,"CWHwh1","CWHwh1/118","Plc",3,"Pl",3,NA,FALSE,"Coast"
"76",4587,"CWHwh1","CWHwh1/118","Ss",2,"Ss",2,NA,FALSE,"Coast"
"77",4588,"CWHwh1","CWHwh1/118","Yc",3,"Yc",3,NA,FALSE,"Coast"
"78",4590,"CWHwh1","CWHwh1/118a","Dr",3,"Dr",3,NA,FALSE,"Coast"
"79",4591,"CWHwh1","CWHwh1/118a","Hw",3,"Hw",3,NA,FALSE,"Coast"
"80",4592,"CWHwh1","CWHwh1/118a","Plc",3,"Pl",3,NA,FALSE,"Coast"
"81",4593,"CWHwh1","CWHwh1/118a","Ss",2,"Ss",2,NA,FALSE,"Coast"
"82",4594,"CWHwh1","CWHwh1/118a","Yc",5,"Yc",5,NA,FALSE,"Coast"
"83",4596,"CWHwh1","CWHwh1/118b","Dr",3,"Dr",3,NA,FALSE,"Coast"
"84",4597,"CWHwh1","CWHwh1/118b","Hw",3,"Hw",3,NA,FALSE,"Coast"
"85",4598,"CWHwh1","CWHwh1/118b","Plc",3,"Pl",3,NA,FALSE,"Coast"
"86",4599,"CWHwh1","CWHwh1/118b","Ss",3,"Ss",3,NA,FALSE,"Coast"
"87",4600,"CWHwh1","CWHwh1/118b","Yc",3,"Yc",3,NA,FALSE,"Coast"
"88",4602,"CWHwh1","CWHwh1/Wb51","Plc",2,"Pl",2,NA,FALSE,"Coast"
"89",4603,"CWHwh1","CWHwh1/Wb51","Yc",3,"Yc",3,NA,FALSE,"Coast"
"90",4609,"CWHwh2","CWHwh2/101","Hm",3,"Hm",3,NA,FALSE,"Coast"
"91",4610,"CWHwh2","CWHwh2/101","Hw",1,"Hw",1,NA,FALSE,"Coast"
"92",4611,"CWHwh2","CWHwh2/101","Ss",2,"Ss",2,NA,FALSE,"Coast"
"93",4612,"CWHwh2","CWHwh2/101","Yc",1,"Yc",1,NA,FALSE,"Coast"
"94",4614,"CWHwh2","CWHwh2/101a","Hm",3,"Hm",3,NA,FALSE,"Coast"
"95",4615,"CWHwh2","CWHwh2/101a","Hw",1,"Hw",1,NA,FALSE,"Coast"
"96",4616,"CWHwh2","CWHwh2/101a","Ss",2,"Ss",2,NA,FALSE,"Coast"
"97",4617,"CWHwh2","CWHwh2/101a","Yc",1,"Yc",1,NA,FALSE,"Coast"
"98",4619,"CWHwh2","CWHwh2/101b","Hm",3,"Hm",3,NA,FALSE,"Coast"
"99",4620,"CWHwh2","CWHwh2/101b","Hw",1,"Hw",1,NA,FALSE,"Coast"
"100",4621,"CWHwh2","CWHwh2/101b","Ss",2,"Ss",2,NA,FALSE,"Coast"
"101",4622,"CWHwh2","CWHwh2/101b","Yc",1,"Yc",1,NA,FALSE,"Coast"
"102",4624,"CWHwh2","CWHwh2/101c","Hm",3,"Hm",3,NA,FALSE,"Coast"
"103",4625,"CWHwh2","CWHwh2/101c","Hw",1,"Hw",1,NA,FALSE,"Coast"
"104",4626,"CWHwh2","CWHwh2/101c","Ss",2,"Ss",2,NA,FALSE,"Coast"
"105",4627,"CWHwh2","CWHwh2/101c","Yc",1,"Yc",1,NA,FALSE,"Coast"
"106",4629,"CWHwh2","CWHwh2/110","Hm",3,"Hm",3,NA,FALSE,"Coast"
"107",4630,"CWHwh2","CWHwh2/110","Hw",1,"Hw",1,NA,FALSE,"Coast"
"108",4631,"CWHwh2","CWHwh2/110","Ss",2,"Ss",2,NA,FALSE,"Coast"
"109",4632,"CWHwh2","CWHwh2/110","Yc",1,"Yc",1,NA,FALSE,"Coast"
"110",4634,"CWHwh2","CWHwh2/111","Hm",2,"Hm",2,NA,FALSE,"Coast"
"111",4635,"CWHwh2","CWHwh2/111","Hw",2,"Hw",2,NA,FALSE,"Coast"
"112",4636,"CWHwh2","CWHwh2/111","Ss",3,"Ss",3,NA,FALSE,"Coast"
"113",4639,"CWHwh2","CWHwh2/112","Hm",3,"Hm",3,NA,FALSE,"Coast"
"114",4640,"CWHwh2","CWHwh2/112","Hw",2,"Hw",2,NA,FALSE,"Coast"
"115",4641,"CWHwh2","CWHwh2/112","Ss",2,"Ss",2,NA,FALSE,"Coast"
"116",4642,"CWHwh2","CWHwh2/112","Yc",1,"Yc",1,NA,FALSE,"Coast"
"117",4644,"CWHwh2","CWHwh2/112a","Hm",3,"Hm",3,NA,FALSE,"Coast"
"118",4645,"CWHwh2","CWHwh2/112a","Hw",2,"Hw",2,NA,FALSE,"Coast"
"119",4646,"CWHwh2","CWHwh2/112a","Ss",2,"Ss",2,NA,FALSE,"Coast"
"120",4647,"CWHwh2","CWHwh2/112a","Yc",1,"Yc",1,NA,FALSE,"Coast"
"121",4649,"CWHwh2","CWHwh2/112b","Hm",3,"Hm",3,NA,FALSE,"Coast"
"122",4650,"CWHwh2","CWHwh2/112b","Hw",2,"Hw",2,NA,FALSE,"Coast"
"123",4651,"CWHwh2","CWHwh2/112b","Ss",2,"Ss",2,NA,FALSE,"Coast"
"124",4652,"CWHwh2","CWHwh2/112b","Yc",1,"Yc",1,NA,FALSE,"Coast"
"125",5448,"ESSFdvp","ESSFdvp/00","Bl",3,"Bl",3,NA,FALSE,"CAR"
"126",5449,"ESSFdvw","ESSFdvw/01","Bl",2,"Bl",2,NA,FALSE,"CAR"
"127",5450,"ESSFdvw","ESSFdvw/01","Pa",2,"Pa",2,NA,FALSE,"CAR"
"128",5451,"ESSFdvw","ESSFdvw/01","Pli",3,"Pl",3,NA,FALSE,"CAR"
"129",5452,"ESSFdvw","ESSFdvw/01","Se",2,"Sx",2,NA,FALSE,"CAR"
"130",5453,"ESSFdvw","ESSFdvw/02","At",3,"At",3,NA,FALSE,"CAR"
"131",5454,"ESSFdvw","ESSFdvw/02","Bl",3,"Bl",3,NA,FALSE,"CAR"
"132",5455,"ESSFdvw","ESSFdvw/02","Hm",2,"Hm",2,NA,FALSE,"CAR"
"133",5456,"ESSFdvw","ESSFdvw/02","Pa",2,"Pa",2,NA,FALSE,"CAR"
"134",5457,"ESSFdvw","ESSFdvw/02","Pli",2,"Pl",2,NA,FALSE,"CAR"
"135",5458,"ESSFdvw","ESSFdvw/02","Se",3,"Sx",3,NA,FALSE,"CAR"
"136",5459,"ESSFdvw","ESSFdvw/03","Bl",3,"Bl",3,NA,FALSE,"CAR"
"137",5460,"ESSFdvw","ESSFdvw/03","Pa",2,"Pa",2,NA,FALSE,"CAR"
"138",5461,"ESSFdvw","ESSFdvw/03","Pli",2,"Pl",2,NA,FALSE,"CAR"
"139",5462,"ESSFdvw","ESSFdvw/03","Se",3,"Sx",3,NA,FALSE,"CAR"
"140",5463,"ESSFdvw","ESSFdvw/04","Bl",3,"Bl",3,NA,FALSE,"CAR"
"141",5464,"ESSFdvw","ESSFdvw/04","Fdi",5,"Fd",5,NA,FALSE,"CAR"
"142",5465,"ESSFdvw","ESSFdvw/04","Pa",2,"Pa",2,NA,FALSE,"CAR"
"143",5466,"ESSFdvw","ESSFdvw/04","Pli",2,"Pl",2,NA,FALSE,"CAR"
"144",5467,"ESSFdvw","ESSFdvw/04","Se",2,"Sx",2,NA,FALSE,"CAR"
"145",5468,"ESSFdvw","ESSFdvw/05","Bl",2,"Bl",2,NA,FALSE,"CAR"
"146",5469,"ESSFdvw","ESSFdvw/05","Se",2,"Sx",2,NA,FALSE,"CAR"
"147",5470,"ESSFdvw","ESSFdvw/06","Bl",2,"Bl",2,NA,FALSE,"CAR"
"148",5471,"ESSFdvw","ESSFdvw/06","Pa",3,"Pa",3,NA,FALSE,"CAR"
"149",5472,"ESSFdvw","ESSFdvw/06","Pli",1,"Pl",1,NA,FALSE,"CAR"
"150",5473,"ESSFdvw","ESSFdvw/06","Se",2,"Sx",2,NA,FALSE,"CAR"
"151",5861,"ESSFmwp","ESSFmwp/00","Bl",3,"Bl",3,NA,FALSE,"TO"
"152",5885,"ESSFun","ESSFun/h","Bl",2,"Bl",2,NA,FALSE,"Coast"
"153",5886,"ESSFun","ESSFun/m","Bl",1,"Bl",1,NA,FALSE,"Coast"
"154",5887,"ESSFun","ESSFun/x","Bl",1,"Bl",1,NA,FALSE,"Coast"
"155",5888,"ESSFunp","ESSFunp/00","Bl",3,"Bl",3,NA,FALSE,"Coast"
"156",6174,"ESSFxcp","ESSFxcp/00","Bl",3,"Bl",3,NA,FALSE,"SKE"
"157",6360,"ESSFxvp","ESSFxvp/00","Bl",3,"Bl",3,NA,FALSE,"CAR"
"158",6361,"ESSFxvw","ESSFxvw/01","Bl",2,"Bl",2,NA,FALSE,"CAR"
"159",6362,"ESSFxvw","ESSFxvw/01","Pa",3,"Pa",3,NA,FALSE,"CAR"
"160",6363,"ESSFxvw","ESSFxvw/01","Pli",2,"Pl",2,NA,FALSE,"CAR"
"161",6364,"ESSFxvw","ESSFxvw/02","Bl",3,"Bl",3,NA,FALSE,"CAR"
"162",6365,"ESSFxvw","ESSFxvw/02","Pa",2,"Pa",2,NA,FALSE,"CAR"
"163",6366,"ESSFxvw","ESSFxvw/02","Pli",3,"Pl",3,NA,FALSE,"CAR"
"164",6367,"ESSFxvw","ESSFxvw/03","Pa",2,"Pa",2,NA,FALSE,"CAR"
"165",6368,"ESSFxvw","ESSFxvw/03","Pli",2,"Pl",2,NA,FALSE,"CAR"
"166",6369,"ESSFxvw","ESSFxvw/04","Bl",2,"Bl",2,NA,FALSE,"CAR"
"167",6370,"ESSFxvw","ESSFxvw/04","Pa",3,"Pa",3,NA,FALSE,"CAR"
"168",6371,"ESSFxvw","ESSFxvw/04","Pli",2,"Pl",2,NA,FALSE,"CAR"
"169",6372,"ESSFxvw","ESSFxvw/05","Bl",2,"Bl",2,NA,FALSE,"CAR"
"170",6373,"ESSFxvw","ESSFxvw/05","Pa",3,"Pa",3,NA,FALSE,"CAR"
"171",6374,"ESSFxvw","ESSFxvw/05","Pli",2,"Pl",2,NA,FALSE,"CAR"
"172",6375,"ESSFxvw","ESSFxvw/06","Bl",2,"Bl",2,NA,FALSE,"CAR"
"173",6376,"ESSFxvw","ESSFxvw/06","Pa",3,"Pa",3,NA,FALSE,"CAR"
"174",6377,"ESSFxvw","ESSFxvw/06","Pli",2,"Pl",2,NA,FALSE,"CAR"
"175",6378,"ESSFxvw","ESSFxvw/07","Bl",2,"Bl",2,NA,FALSE,"CAR"
"176",6379,"ESSFxvw","ESSFxvw/07","Pli",2,"Pl",2,NA,FALSE,"CAR"
"177",6380,"ESSFxvw","ESSFxvw/08","Bl",2,"Bl",2,NA,FALSE,"CAR"
"178",6381,"ESSFxvw","ESSFxvw/08","Pli",2,"Pl",2,NA,FALSE,"CAR"
"179",6382,"ESSFxvw","ESSFxvw/09","Bl",2,"Bl",2,NA,FALSE,"CAR"
"180",6383,"ESSFxvw","ESSFxvw/09","Pli",2,"Pl",2,NA,FALSE,"CAR"
"181",6384,"ESSFxvw","ESSFxvw/10","Bl",2,"Bl",2,NA,FALSE,"CAR"
"182",6385,"ESSFxvw","ESSFxvw/10","Pli",3,"Pl",3,NA,FALSE,"CAR"
"183",6386,"ESSFxvw","ESSFxvw/10","Sxw",2,"Sx",2,NA,FALSE,"CAR"
"184",6548,"ICHdk","ICHdk/01","Lw",3,"Lw",3,NA,TRUE,"CAR"
"185",6580,"ICHdk","ICHdk/04","Lw",3,"Lw",3,NA,TRUE,"CAR"
"186",6589,"ICHdk","ICHdk/05","Lw",3,"Lw",3,NA,TRUE,"CAR"
"187",6937,"ICHmc2","ICHmc2/01","Ba",5,"Ba",5,NA,FALSE,"SKE"
"188",6940,"ICHmc2","ICHmc2/01","Ep",2,"Ep",2,NA,FALSE,"SKE"
"189",6983,"ICHmc2","ICHmc2/02","At",3,"At",3,NA,FALSE,"SKE"
"190",6984,"ICHmc2","ICHmc2/02","Ba",5,"Ba",5,NA,FALSE,"SKE"
"191",6986,"ICHmc2","ICHmc2/02","Ep",3,"Ep",3,NA,FALSE,"SKE"
"192",7014,"ICHmc2","ICHmc2/05","At",2,"At",2,NA,FALSE,"SKE"
"193",7018,"ICHmc2","ICHmc2/05","Ep",1,"Ep",1,NA,FALSE,"SKE"
"194",7124,"ICHmk3","ICHmk3/01","Lw",3,"Lw",3,NA,TRUE,"CAR"
"195",7137,"ICHmk3","ICHmk3/03","Lw",3,"Lw",3,NA,TRUE,"CAR"
"196",7146,"ICHmk3","ICHmk3/04","Lw",3,"Lw",3,NA,TRUE,"CAR"
"197",7531,"ICHvc","ICHvc/01","At",3,"At",3,NA,FALSE,"SKE"
"198",7533,"ICHvc","ICHvc/01","Ep",3,"Ep",3,NA,FALSE,"SKE"
"199",7538,"ICHvc","ICHvc/01.1","At",3,"At",3,NA,FALSE,"SKE"
"200",7540,"ICHvc","ICHvc/01.1","Ep",2,"Ep",2,NA,FALSE,"SKE"
"201",7545,"ICHvc","ICHvc/01.2","At",3,"At",3,NA,FALSE,"SKE"
"202",7547,"ICHvc","ICHvc/01.2","Ep",3,"Ep",3,NA,FALSE,"SKE"
"203",7551,"ICHvc","ICHvc/02","At",3,"At",3,NA,FALSE,"SKE"
"204",7553,"ICHvc","ICHvc/02","Ep",3,"Ep",3,NA,FALSE,"SKE"
"205",7558,"ICHvc","ICHvc/02.1","At",3,"At",3,NA,FALSE,"SKE"
"206",7560,"ICHvc","ICHvc/02.1","Ep",3,"Ep",3,NA,FALSE,"SKE"
"207",7565,"ICHvc","ICHvc/02.2","At",3,"At",3,NA,FALSE,"SKE"
"208",7567,"ICHvc","ICHvc/02.2","Ep",3,"Ep",3,NA,FALSE,"SKE"
"209",7573,"ICHvc","ICHvc/03","At",3,"At",3,NA,FALSE,"SKE"
"210",7575,"ICHvc","ICHvc/03","Ep",3,"Ep",3,NA,FALSE,"SKE"
"211",7579,"ICHvc","ICHvc/03a","At",3,"At",3,NA,FALSE,"SKE"
"212",7581,"ICHvc","ICHvc/03a","Ep",3,"Ep",3,NA,FALSE,"SKE"
"213",7585,"ICHvc","ICHvc/03b","At",3,"At",3,NA,FALSE,"SKE"
"214",7587,"ICHvc","ICHvc/03b","Ep",3,"Ep",3,NA,FALSE,"SKE"
"215",7591,"ICHvc","ICHvc/04","At",3,"At",3,NA,FALSE,"SKE"
"216",7593,"ICHvc","ICHvc/04","Ep",3,"Ep",3,NA,FALSE,"SKE"
"217",7596,"ICHvc","ICHvc/05","At",3,"At",3,NA,FALSE,"SKE"
"218",7600,"ICHvc","ICHvc/06","At",3,"At",3,NA,FALSE,"SKE"
"219",7602,"ICHvc","ICHvc/06","Ep",3,"Ep",3,NA,FALSE,"SKE"
"220",7663,"ICHwc","ICHwc/01","Act",3,"Ac",3,NA,FALSE,"SKE"
"221",7664,"ICHwc","ICHwc/01","At",2,"At",2,NA,FALSE,"SKE"
"222",7665,"ICHwc","ICHwc/01","Bl",1,"Bl",1,NA,FALSE,"SKE"
"223",7666,"ICHwc","ICHwc/01","Ep",2,"Ep",2,NA,FALSE,"SKE"
"224",7667,"ICHwc","ICHwc/01","Hw",1,"Hw",1,NA,FALSE,"SKE"
"225",7668,"ICHwc","ICHwc/01","Pli",2,"Pl",2,NA,FALSE,"SKE"
"226",7669,"ICHwc","ICHwc/01","Sxw",1,"Sx",1,NA,FALSE,"SKE"
"227",7670,"ICHwc","ICHwc/02","At",3,"At",3,NA,FALSE,"SKE"
"228",7671,"ICHwc","ICHwc/02","Bl",3,"Bl",3,NA,FALSE,"SKE"
"229",7672,"ICHwc","ICHwc/02","Hw",3,"Hw",3,NA,FALSE,"SKE"
"230",7673,"ICHwc","ICHwc/02","Pli",2,"Pl",2,NA,FALSE,"SKE"
"231",7674,"ICHwc","ICHwc/03","At",2,"At",2,NA,FALSE,"SKE"
"232",7675,"ICHwc","ICHwc/03","Bl",1,"Bl",1,NA,FALSE,"SKE"
"233",7676,"ICHwc","ICHwc/03","Ep",2,"Ep",2,NA,FALSE,"SKE"
"234",7677,"ICHwc","ICHwc/03","Hw",1,"Hw",1,NA,FALSE,"SKE"
"235",7678,"ICHwc","ICHwc/03","Pli",1,"Pl",1,NA,FALSE,"SKE"
"236",7679,"ICHwc","ICHwc/03","Sxw",1,"Sx",1,NA,FALSE,"SKE"
"237",7680,"ICHwc","ICHwc/04","Act",3,"Ac",3,NA,FALSE,"SKE"
"238",7681,"ICHwc","ICHwc/04","At",3,"At",3,NA,FALSE,"SKE"
"239",7682,"ICHwc","ICHwc/04","Bl",1,"Bl",1,NA,FALSE,"SKE"
"240",7683,"ICHwc","ICHwc/04","Ep",3,"Ep",3,NA,FALSE,"SKE"
"241",7684,"ICHwc","ICHwc/04","Hw",2,"Hw",2,NA,FALSE,"SKE"
"242",7685,"ICHwc","ICHwc/04","Pli",3,"Pl",3,NA,FALSE,"SKE"
"243",7686,"ICHwc","ICHwc/04","Sxw",1,"Sx",1,NA,FALSE,"SKE"
"244",7687,"ICHwc","ICHwc/05","Act",3,"Ac",3,NA,FALSE,"SKE"
"245",7688,"ICHwc","ICHwc/05","At",3,"At",3,NA,FALSE,"SKE"
"246",7689,"ICHwc","ICHwc/05","Bl",1,"Bl",1,NA,FALSE,"SKE"
"247",7690,"ICHwc","ICHwc/05","Ep",3,"Ep",3,NA,FALSE,"SKE"
"248",7691,"ICHwc","ICHwc/05","Hw",2,"Hw",2,NA,FALSE,"SKE"
"249",7692,"ICHwc","ICHwc/05","Pli",3,"Pl",3,NA,FALSE,"SKE"
"250",7693,"ICHwc","ICHwc/05","Sxw",1,"Sx",1,NA,FALSE,"SKE"
"251",7694,"ICHwc","ICHwc/06","Act",1,"Ac",1,NA,FALSE,"SKE"
"252",7695,"ICHwc","ICHwc/06","At",3,"At",3,NA,FALSE,"SKE"
"253",7696,"ICHwc","ICHwc/06","Bl",1,"Bl",1,NA,FALSE,"SKE"
"254",7697,"ICHwc","ICHwc/06","Ep",3,"Ep",3,NA,FALSE,"SKE"
"255",7698,"ICHwc","ICHwc/06","Hw",3,"Hw",3,NA,FALSE,"SKE"
"256",7699,"ICHwc","ICHwc/06","Pli",3,"Pl",3,NA,FALSE,"SKE"
"257",7700,"ICHwc","ICHwc/06","Sxw",1,"Sx",1,NA,FALSE,"SKE"
"258",7701,"ICHwc","ICHwc/07","Bl",2,"Bl",2,NA,FALSE,"SKE"
"259",7702,"ICHwc","ICHwc/07","Hw",3,"Hw",3,NA,FALSE,"SKE"
"260",7703,"ICHwc","ICHwc/07","Pli",3,"Pl",3,NA,FALSE,"SKE"
"261",7704,"ICHwc","ICHwc/07","Sxw",1,"Sx",1,NA,FALSE,"SKE"
"262",7705,"ICHwc","ICHwc/08","Act",3,"Ac",3,NA,FALSE,"SKE"
"263",7706,"ICHwc","ICHwc/08","At",3,"At",3,NA,FALSE,"SKE"
"264",7707,"ICHwc","ICHwc/08","Bl",1,"Bl",1,NA,FALSE,"SKE"
"265",7708,"ICHwc","ICHwc/08","Ep",3,"Ep",3,NA,FALSE,"SKE"
"266",7709,"ICHwc","ICHwc/08","Hw",3,"Hw",3,NA,FALSE,"SKE"
"267",7710,"ICHwc","ICHwc/08","Sxw",1,"Sx",1,NA,FALSE,"SKE"
"268",7720,"ICHwk2","ICHwk2/01","Lw",3,"Lw",3,NA,TRUE,"CAR"
"269",7729,"ICHwk2","ICHwk2/01a","Lw",3,"Lw",3,NA,TRUE,"CAR"
"270",7740,"ICHwk2","ICHwk2/01b","Lw",3,"Lw",3,NA,TRUE,"CAR"
"271",7762,"ICHwk2","ICHwk2/04","Lw",3,"Lw",3,NA,TRUE,"CAR"
"272",7768,"ICHwk2","ICHwk2/05","Lw",3,"Lw",3,NA,TRUE,"CAR"
"273",8331,"IDFdk3","IDFdk3/01","Lw",3,"Lw",3,NA,TRUE,"CAR"
"274",8369,"IDFdk4","IDFdk4/01","Lw",3,"Lw",3,NA,TRUE,"CAR"
"275",8371,"IDFdk4","IDFdk4/01","Sxw",5,"Sx",5,NA,FALSE,"CAR"
"276",8929,"IDFxx1","IDFxx1/101","Fdi",2,"Fd",2,NA,FALSE,"TO"
"277",8930,"IDFxx1","IDFxx1/101","Pyi",1,"Py",1,NA,FALSE,"TO"
"278",8931,"IDFxx1","IDFxx1/102","Fdi",5,"Fd",5,NA,FALSE,"TO"
"279",8932,"IDFxx1","IDFxx1/102","Pyi",2,"Py",2,NA,FALSE,"TO"
