"","X","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange","Region"
"1",4486,"CWHwh1","CWHwh1/101","Dr",2,"Dr",2,NA,FALSE,"Coast"
"2",4487,"CWHwh1","CWHwh1/101","Hw",1,"Hw",1,NA,FALSE,"Coast"
"3",4488,"CWHwh1","CWHwh1/101","Ss",1,"Ss",1,NA,FALSE,"Coast"
"4",4490,"CWHwh1","CWHwh1/101a","Dr",2,"Dr",2,NA,FALSE,"Coast"
"5",4491,"CWHwh1","CWHwh1/101a","Hw",1,"Hw",1,NA,FALSE,"Coast"
"6",4492,"CWHwh1","CWHwh1/101a","Ss",1,"Ss",1,NA,FALSE,"Coast"
"7",4494,"CWHwh1","CWHwh1/101b","Dr",2,"Dr",2,NA,FALSE,"Coast"
"8",4495,"CWHwh1","CWHwh1/101b","Hw",1,"Hw",1,NA,FALSE,"Coast"
"9",4496,"CWHwh1","CWHwh1/101b","Ss",1,"Ss",1,NA,FALSE,"Coast"
"10",4498,"CWHwh1","CWHwh1/102","Dr",3,"Dr",3,NA,FALSE,"Coast"
"11",4499,"CWHwh1","CWHwh1/102","Hw",1,"Hw",1,NA,FALSE,"Coast"
"12",4500,"CWHwh1","CWHwh1/102","Plc",3,"Pl",3,NA,FALSE,"Coast"
"13",4501,"CWHwh1","CWHwh1/102","Ss",2,"Ss",2,NA,FALSE,"Coast"
"14",4502,"CWHwh1","CWHwh1/103","Cw",3,"Cw",3,NA,FALSE,"Coast"
"15",4503,"CWHwh1","CWHwh1/103","Dr",3,"Dr",3,NA,FALSE,"Coast"
"16",4504,"CWHwh1","CWHwh1/103","Hw",3,"Hw",3,NA,FALSE,"Coast"
"17",4505,"CWHwh1","CWHwh1/103","Ss",1,"Ss",1,NA,FALSE,"Coast"
"18",4509,"CWHwh1","CWHwh1/104","Dr",3,"Dr",3,NA,FALSE,"Coast"
"19",4510,"CWHwh1","CWHwh1/104","Hw",3,"Hw",3,NA,FALSE,"Coast"
"20",4511,"CWHwh1","CWHwh1/104","Ss",1,"Ss",1,NA,FALSE,"Coast"
"21",4514,"CWHwh1","CWHwh1/105","Dr",2,"Dr",2,NA,FALSE,"Coast"
"22",4515,"CWHwh1","CWHwh1/105","Hw",2,"Hw",2,NA,FALSE,"Coast"
"23",4516,"CWHwh1","CWHwh1/105","Ss",1,"Ss",1,NA,FALSE,"Coast"
"24",4518,"CWHwh1","CWHwh1/105a","Dr",2,"Dr",2,NA,FALSE,"Coast"
"25",4519,"CWHwh1","CWHwh1/105a","Hw",2,"Hw",2,NA,FALSE,"Coast"
"26",4520,"CWHwh1","CWHwh1/105a","Ss",1,"Ss",1,NA,FALSE,"Coast"
"27",4522,"CWHwh1","CWHwh1/105b","Dr",2,"Dr",2,NA,FALSE,"Coast"
"28",4523,"CWHwh1","CWHwh1/105b","Hw",2,"Hw",2,NA,FALSE,"Coast"
"29",4524,"CWHwh1","CWHwh1/105b","Ss",1,"Ss",1,NA,FALSE,"Coast"
