"","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange","Zone","Note","Region"
"19","BGxh2","BGxh2/Fm01","Pyi",3,"Py",NA,NA,FALSE,"BG",NA,"TO"
"20","BGxh2","BGxh2/Fm06","Pyi",3,"Py",NA,NA,FALSE,"BG",NA,"TO"
"21","BGxw1","BGxw1/Fm01","Act",1,"Ac",NA,NA,FALSE,"BG",NA,"TO"
"22","BGxw1","BGxw1/Fm05","Act",1,"Ac",NA,NA,FALSE,"BG",NA,"TO"
"23","BGxw1","BGxw1/Fm01","At",2,"At",NA,NA,FALSE,"BG",NA,"TO"
"24","BGxw1","BGxw1/Fm05","At",2,"At",NA,NA,FALSE,"BG",NA,"TO"
"25","BGxw1","BGxw1/Fm01","Ep",2,"Ep",NA,NA,FALSE,"BG",NA,"TO"
"26","BGxw1","BGxw1/Fm05","Ep",2,"Ep",NA,NA,FALSE,"BG",NA,"TO"
"27","BGxw1","BGxw1/Fm01","Fdi",3,"Fd",NA,NA,FALSE,"BG",NA,"TO"
"28","BGxw1","BGxw1/Fm05","Fdi",3,"Fd",NA,NA,FALSE,"BG",NA,"TO"
"29","BGxw1","BGxw1/Fm01","Pyi",3,"Py",NA,NA,FALSE,"BG",NA,"TO"
"30","BGxw1","BGxw1/Fm05","Pyi",3,"Py",NA,NA,FALSE,"BG",NA,"TO"
"31","ESSFdc2","ESSFdc2/101","At",3,"At",NA,NA,FALSE,"ESSF","imputed","TO"
"32","ESSFdc2","ESSFdc2/101","Ba",2,"Ba",NA,NA,FALSE,"ESSF","imputed","TO"
"33","ESSFdc2","ESSFdc2/101","Fdi",3,"Fd",NA,NA,FALSE,"ESSF","imputed","TO"
"34","ESSFdc2","ESSFdc2/112","Pli",2,"Pl",NA,NA,FALSE,"ESSF",NA,"TO"
"35","ESSFdc3","ESSFdc3/05","Fdi",3,"Fd",NA,NA,FALSE,"ESSF","imputed","TO"
"36","ESSFdc3","ESSFdc3/02","Fdi",3,"Fd",NA,NA,FALSE,"ESSF","imputed","TO"
"37","ESSFdcw","ESSFdcw/103","La",3,"La",NA,NA,FALSE,"ESSF",NA,"TO"
"38","ESSFdh1","ESSFdh1/104","Hw",3,"Hw",NA,NA,FALSE,"ESSF","imputed","TO"
"39","ESSFdh1","ESSFdh1/104","Pw",3,"Pw",NA,NA,FALSE,"ESSF","imputed","TO"
"40","ESSFdh1","ESSFdh1/101","Pw",3,"Pw",NA,NA,FALSE,"ESSF","imputed","TO"
"41","ESSFdvp","ESSFdvp/00","Bl",3,"Bl",NA,NA,FALSE,"ESSF",NA,"CAR"
"42","ESSFdvw","ESSFdvw/02","At",3,"At",NA,NA,FALSE,"ESSF",NA,"CAR"
"43","ESSFdvw","ESSFdvw/01","Bl",2,"Bl",NA,NA,FALSE,"ESSF",NA,"CAR"
"44","ESSFdvw","ESSFdvw/02","Bl",3,"Bl",NA,NA,FALSE,"ESSF",NA,"CAR"
"45","ESSFdvw","ESSFdvw/03","Bl",3,"Bl",NA,NA,FALSE,"ESSF",NA,"CAR"
"46","ESSFdvw","ESSFdvw/04","Bl",3,"Bl",NA,NA,FALSE,"ESSF",NA,"CAR"
"47","ESSFdvw","ESSFdvw/05","Bl",2,"Bl",NA,NA,FALSE,"ESSF",NA,"CAR"
"48","ESSFdvw","ESSFdvw/06","Bl",2,"Bl",NA,NA,FALSE,"ESSF",NA,"CAR"
"49","ESSFdvw","ESSFdvw/04","Fdi",5,"Fd",NA,NA,FALSE,"ESSF",NA,"CAR"
"50","ESSFdvw","ESSFdvw/02","Hm",2,"Hm",NA,NA,FALSE,"ESSF",NA,"CAR"
"51","ESSFdvw","ESSFdvw/01","Pa",2,"Pa",NA,NA,FALSE,"ESSF",NA,"CAR"
"52","ESSFdvw","ESSFdvw/02","Pa",2,"Pa",NA,NA,FALSE,"ESSF",NA,"CAR"
"53","ESSFdvw","ESSFdvw/03","Pa",2,"Pa",NA,NA,FALSE,"ESSF",NA,"CAR"
"54","ESSFdvw","ESSFdvw/04","Pa",2,"Pa",NA,NA,FALSE,"ESSF",NA,"CAR"
"55","ESSFdvw","ESSFdvw/06","Pa",3,"Pa",NA,NA,FALSE,"ESSF",NA,"CAR"
"56","ESSFdvw","ESSFdvw/01","Pli",3,"Pl",NA,NA,FALSE,"ESSF",NA,"CAR"
"57","ESSFdvw","ESSFdvw/02","Pli",2,"Pl",NA,NA,FALSE,"ESSF",NA,"CAR"
"58","ESSFdvw","ESSFdvw/03","Pli",2,"Pl",NA,NA,FALSE,"ESSF",NA,"CAR"
"59","ESSFdvw","ESSFdvw/04","Pli",2,"Pl",NA,NA,FALSE,"ESSF",NA,"CAR"
"60","ESSFdvw","ESSFdvw/06","Pli",1,"Pl",NA,NA,FALSE,"ESSF",NA,"CAR"
"61","ESSFdvw","ESSFdvw/01","Se",2,"Sx",NA,NA,FALSE,"ESSF",NA,"CAR"
"62","ESSFdvw","ESSFdvw/02","Se",3,"Sx",NA,NA,FALSE,"ESSF",NA,"CAR"
"63","ESSFdvw","ESSFdvw/03","Se",3,"Sx",NA,NA,FALSE,"ESSF",NA,"CAR"
"64","ESSFdvw","ESSFdvw/04","Se",2,"Sx",NA,NA,FALSE,"ESSF",NA,"CAR"
"65","ESSFdvw","ESSFdvw/05","Se",2,"Sx",NA,NA,FALSE,"ESSF",NA,"CAR"
