"","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange","Zone","Note"
"40","BWBSdk","BWBSdk/102","Sb",5,"Sb",5,NA,FALSE,"BWBS",NA
"90","BWBSmk","BWBSmk/102","Sw",5,"Sx",5,NA,FALSE,"BWBS",NA
"96","BWBSmk","BWBSmk/104","Lt",2,"Lt",2,NA,FALSE,"BWBS",NA
"102","BWBSmk","BWBSmk/104a","Lt",2,"Lt",2,NA,FALSE,"BWBS",NA
"107","BWBSmk","BWBSmk/104b","Lt",2,"Lt",2,NA,FALSE,"BWBS",NA
"134","BWBSmw","BWBSmw/102","Sw",5,"Sx",5,NA,FALSE,"BWBS",NA
"147","BWBSmw","BWBSmw/110","Sb",5,"Sb",5,NA,FALSE,"BWBS",NA
"158","BWBSvk","BWBSvk/h","Acb",1,"Ac",1,NA,FALSE,"BWBS",NA
"159","BWBSvk","BWBSvk/h","Bl",1,"Bl",1,NA,FALSE,"BWBS",NA
"160","BWBSvk","BWBSvk/h","Sw",1,"Sx",1,NA,FALSE,"BWBS",NA
"161","BWBSvk","BWBSvk/m","Acb",1,"Ac",1,NA,FALSE,"BWBS",NA
"162","BWBSvk","BWBSvk/m","Bl",1,"Bl",1,NA,FALSE,"BWBS",NA
"163","BWBSvk","BWBSvk/m","Ep",2,"Ep",2,NA,FALSE,"BWBS",NA
"164","BWBSvk","BWBSvk/m","Sw",1,"Sx",1,NA,FALSE,"BWBS",NA
"165","BWBSvk","BWBSvk/x","At",3,"At",3,NA,FALSE,"BWBS",NA
"166","BWBSvk","BWBSvk/x","Bl",1,"Bl",1,NA,FALSE,"BWBS",NA
"167","BWBSvk","BWBSvk/x","Sw",1,"Sx",1,NA,FALSE,"BWBS",NA
"184","BWBSwk1","BWBSwk1/111","Lt",2,"Lt",2,NA,FALSE,"BWBS",NA
"233","BWBSwk3","BWBSwk3/110","Lt",2,"Lt",2,NA,FALSE,"BWBS",NA
"239","BWBSwk3","BWBSwk3/111","Lt",2,"Lt",2,NA,FALSE,"BWBS",NA
"3255","ESSFdcp","ESSFdcp/00","Bl",3,"Bl",3,NA,FALSE,"ESSF",NA
"3259","ESSFdcw","ESSFdcw/102","La",2,"La",2,NA,FALSE,"ESSF",NA
"3264","ESSFdcw","ESSFdcw/103","La",3,"La",3,NA,FALSE,"ESSF",NA
"3286","ESSFdk1","ESSFdk1/103","Pf",3,"Pf",3,NA,FALSE,"ESSF",NA
"3305","ESSFdk2","ESSFdk2/101","Bl",1,"Bl",1,NA,FALSE,"ESSF",NA
"3306","ESSFdk2","ESSFdk2/101","Fdi",3,"Fd",3,NA,FALSE,"ESSF",NA
"3307","ESSFdk2","ESSFdk2/101","Lw",3,"Lw",3,NA,FALSE,"ESSF",NA
"3308","ESSFdk2","ESSFdk2/101","Pa",3,"Pa",3,NA,FALSE,"ESSF",NA
"3309","ESSFdk2","ESSFdk2/101","Pli",2,"Pl",2,NA,FALSE,"ESSF",NA
"3310","ESSFdk2","ESSFdk2/101","Se",1,"Sx",1,NA,FALSE,"ESSF",NA
"3311","ESSFdk2","ESSFdk2/102","Bl",3,"Bl",3,NA,FALSE,"ESSF",NA
"3312","ESSFdk2","ESSFdk2/102","Fdi",2,"Fd",2,NA,FALSE,"ESSF",NA
"3313","ESSFdk2","ESSFdk2/102","Lw",3,"Lw",3,NA,FALSE,"ESSF",NA
"3314","ESSFdk2","ESSFdk2/102","Pa",2,"Pa",2,NA,FALSE,"ESSF",NA
"3315","ESSFdk2","ESSFdk2/102","Pf",3,"Pf",3,NA,FALSE,"ESSF",NA
"3316","ESSFdk2","ESSFdk2/102","Pli",2,"Pl",2,NA,FALSE,"ESSF",NA
"3317","ESSFdk2","ESSFdk2/102","Se",2,"Sx",2,NA,FALSE,"ESSF",NA
"3318","ESSFdk2","ESSFdk2/103","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3319","ESSFdk2","ESSFdk2/103","Fdi",2,"Fd",2,NA,FALSE,"ESSF",NA
"3320","ESSFdk2","ESSFdk2/103","Lw",3,"Lw",3,NA,FALSE,"ESSF",NA
"3321","ESSFdk2","ESSFdk2/103","Pa",2,"Pa",2,NA,FALSE,"ESSF",NA
"3322","ESSFdk2","ESSFdk2/103","Pf",3,"Pf",3,NA,FALSE,"ESSF",NA
"3323","ESSFdk2","ESSFdk2/103","Pli",1,"Pl",1,NA,FALSE,"ESSF",NA
"3324","ESSFdk2","ESSFdk2/103","Se",2,"Sx",2,NA,FALSE,"ESSF",NA
"3325","ESSFdk2","ESSFdk2/104","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3326","ESSFdk2","ESSFdk2/104","Fdi",2,"Fd",2,NA,FALSE,"ESSF",NA
"3327","ESSFdk2","ESSFdk2/104","Lw",3,"Lw",3,NA,FALSE,"ESSF",NA
"3328","ESSFdk2","ESSFdk2/104","Pa",3,"Pa",3,NA,FALSE,"ESSF",NA
"3329","ESSFdk2","ESSFdk2/104","Pli",2,"Pl",2,NA,FALSE,"ESSF",NA
"3330","ESSFdk2","ESSFdk2/104","Se",1,"Sx",1,NA,FALSE,"ESSF",NA
"3331","ESSFdk2","ESSFdk2/110","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3332","ESSFdk2","ESSFdk2/110","Se",1,"Sx",1,NA,FALSE,"ESSF",NA
"3333","ESSFdk2","ESSFdk2/111","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3334","ESSFdk2","ESSFdk2/111","Se",1,"Sx",1,NA,FALSE,"ESSF",NA
"3335","ESSFdk2","ESSFdk2/112","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3336","ESSFdk2","ESSFdk2/112","Pli",3,"Pl",3,NA,FALSE,"ESSF",NA
"3337","ESSFdk2","ESSFdk2/112","Se",2,"Sx",2,NA,FALSE,"ESSF",NA
"3344","ESSFdkp","ESSFdkp/00","Bl",3,"Bl",3,NA,FALSE,"ESSF",NA
"3345","ESSFdkw","ESSFdkw/101","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3346","ESSFdkw","ESSFdkw/101","Pli",3,"Pl",3,NA,FALSE,"ESSF",NA
"3347","ESSFdkw","ESSFdkw/101","Se",2,"Sx",2,NA,FALSE,"ESSF",NA
"3348","ESSFdkw","ESSFdkw/102","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3349","ESSFdkw","ESSFdkw/102","La",2,"La",2,NA,FALSE,"ESSF",NA
"3350","ESSFdkw","ESSFdkw/102","Pa",3,"Pa",3,NA,FALSE,"ESSF",NA
"3351","ESSFdkw","ESSFdkw/102","Pli",3,"Pl",3,NA,FALSE,"ESSF",NA
"3352","ESSFdkw","ESSFdkw/102","Se",3,"Sx",3,NA,FALSE,"ESSF",NA
"3353","ESSFdkw","ESSFdkw/103","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3354","ESSFdkw","ESSFdkw/103","La",2,"La",2,NA,FALSE,"ESSF",NA
"3355","ESSFdkw","ESSFdkw/103","Pa",3,"Pa",3,NA,FALSE,"ESSF",NA
"3356","ESSFdkw","ESSFdkw/103","Pli",3,"Pl",3,NA,FALSE,"ESSF",NA
"3357","ESSFdkw","ESSFdkw/103","Se",2,"Sx",2,NA,FALSE,"ESSF",NA
"3358","ESSFdkw","ESSFdkw/110","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3359","ESSFdkw","ESSFdkw/110","Se",2,"Sx",2,NA,FALSE,"ESSF",NA
"3360","ESSFdvp","ESSFdvp/00","Bl",3,"Bl",3,NA,FALSE,"ESSF",NA
"3361","ESSFdvw","ESSFdvw/01","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3362","ESSFdvw","ESSFdvw/01","Pa",2,"Pa",2,NA,FALSE,"ESSF",NA
"3363","ESSFdvw","ESSFdvw/01","Pli",3,"Pl",3,NA,FALSE,"ESSF",NA
"3364","ESSFdvw","ESSFdvw/01","Se",2,"Sx",2,NA,FALSE,"ESSF",NA
"3365","ESSFdvw","ESSFdvw/02","At",3,"At",3,NA,FALSE,"ESSF",NA
"3366","ESSFdvw","ESSFdvw/02","Bl",3,"Bl",3,NA,FALSE,"ESSF",NA
"3367","ESSFdvw","ESSFdvw/02","Hm",2,"Hm",2,NA,FALSE,"ESSF",NA
"3368","ESSFdvw","ESSFdvw/02","Pa",2,"Pa",2,NA,FALSE,"ESSF",NA
"3369","ESSFdvw","ESSFdvw/02","Pli",2,"Pl",2,NA,FALSE,"ESSF",NA
"3370","ESSFdvw","ESSFdvw/02","Se",3,"Sx",3,NA,FALSE,"ESSF",NA
"3371","ESSFdvw","ESSFdvw/03","Bl",3,"Bl",3,NA,FALSE,"ESSF",NA
