"","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange","Zone","Note"
"3372","ESSFdvw","ESSFdvw/03","Pa",2,"Pa",2,NA,FALSE,"ESSF",NA
"3373","ESSFdvw","ESSFdvw/03","Pli",2,"Pl",2,NA,FALSE,"ESSF",NA
"3374","ESSFdvw","ESSFdvw/03","Se",3,"Sx",3,NA,FALSE,"ESSF",NA
"3375","ESSFdvw","ESSFdvw/04","Bl",3,"Bl",3,NA,FALSE,"ESSF",NA
"3376","ESSFdvw","ESSFdvw/04","Fdi",5,"Fd",5,NA,FALSE,"ESSF",NA
"3377","ESSFdvw","ESSFdvw/04","Pa",2,"Pa",2,NA,FALSE,"ESSF",NA
"3378","ESSFdvw","ESSFdvw/04","Pli",2,"Pl",2,NA,FALSE,"ESSF",NA
"3379","ESSFdvw","ESSFdvw/04","Se",2,"Sx",2,NA,FALSE,"ESSF",NA
"3380","ESSFdvw","ESSFdvw/05","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3381","ESSFdvw","ESSFdvw/05","Se",2,"Sx",2,NA,FALSE,"ESSF",NA
"3382","ESSFdvw","ESSFdvw/06","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3383","ESSFdvw","ESSFdvw/06","Pa",3,"Pa",3,NA,FALSE,"ESSF",NA
"3384","ESSFdvw","ESSFdvw/06","Pli",1,"Pl",1,NA,FALSE,"ESSF",NA
"3385","ESSFdvw","ESSFdvw/06","Se",2,"Sx",2,NA,FALSE,"ESSF",NA
"3476","ESSFmh","ESSFmh/112.1","Act",3,"Ac",3,NA,FALSE,"ESSF",NA
"3477","ESSFmh","ESSFmh/112.1","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3478","ESSFmh","ESSFmh/112.1","Sxw",1,"Sx",1,NA,FALSE,"ESSF",NA
"3479","ESSFmh","ESSFmh/112.2","Act",3,"Ac",3,NA,FALSE,"ESSF",NA
"3480","ESSFmh","ESSFmh/112.2","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3481","ESSFmh","ESSFmh/112.2","Sxw",1,"Sx",1,NA,FALSE,"ESSF",NA
"3581","ESSFmm3","ESSFmm3/101","Bl",1,"Bl",1,NA,FALSE,"ESSF",NA
"3582","ESSFmm3","ESSFmm3/101","Pli",3,"Pl",3,NA,FALSE,"ESSF",NA
"3583","ESSFmm3","ESSFmm3/101","Sxw",1,"Sx",1,NA,FALSE,"ESSF",NA
"3584","ESSFmm3","ESSFmm3/102","Bl",3,"Bl",3,NA,FALSE,"ESSF",NA
"3585","ESSFmm3","ESSFmm3/102","Fdi",2,"Fd",2,NA,FALSE,"ESSF",NA
"3586","ESSFmm3","ESSFmm3/102","Pa",3,"Pa",3,NA,FALSE,"ESSF",NA
"3587","ESSFmm3","ESSFmm3/102","Pli",2,"Pl",2,NA,FALSE,"ESSF",NA
"3588","ESSFmm3","ESSFmm3/102","Sxw",2,"Sx",2,NA,FALSE,"ESSF",NA
"3589","ESSFmm3","ESSFmm3/103","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3590","ESSFmm3","ESSFmm3/103","Fdi",2,"Fd",2,NA,FALSE,"ESSF",NA
"3591","ESSFmm3","ESSFmm3/103","Pa",3,"Pa",3,NA,FALSE,"ESSF",NA
"3592","ESSFmm3","ESSFmm3/103","Pli",2,"Pl",2,NA,FALSE,"ESSF",NA
"3593","ESSFmm3","ESSFmm3/103","Sxw",1,"Sx",1,NA,FALSE,"ESSF",NA
"3594","ESSFmm3","ESSFmm3/104","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3595","ESSFmm3","ESSFmm3/104","Pa",3,"Pa",3,NA,FALSE,"ESSF",NA
"3596","ESSFmm3","ESSFmm3/104","Pli",3,"Pl",3,NA,FALSE,"ESSF",NA
"3597","ESSFmm3","ESSFmm3/104","Sxw",1,"Sx",1,NA,FALSE,"ESSF",NA
"3598","ESSFmm3","ESSFmm3/110","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3599","ESSFmm3","ESSFmm3/110","Sxw",1,"Sx",1,NA,FALSE,"ESSF",NA
"3600","ESSFmm3","ESSFmm3/111","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3601","ESSFmm3","ESSFmm3/111","Sxw",1,"Sx",1,NA,FALSE,"ESSF",NA
"3602","ESSFmm3","ESSFmm3/112","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3603","ESSFmm3","ESSFmm3/112","Sxw",2,"Sx",2,NA,FALSE,"ESSF",NA
"3604","ESSFmmp","ESSFmmp/00","Bl",3,"Bl",3,NA,FALSE,"ESSF",NA
"3605","ESSFmmw","ESSFmmw/01","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3606","ESSFmmw","ESSFmmw/01","Pli",3,"Pl",3,NA,FALSE,"ESSF",NA
"3607","ESSFmmw","ESSFmmw/01","Sxw",2,"Sx",2,NA,FALSE,"ESSF",NA
"3608","ESSFmmw","ESSFmmw/02","Bl",3,"Bl",3,NA,FALSE,"ESSF",NA
"3609","ESSFmmw","ESSFmmw/02","Pli",3,"Pl",3,NA,FALSE,"ESSF",NA
"3610","ESSFmmw","ESSFmmw/02","Sxw",3,"Sx",3,NA,FALSE,"ESSF",NA
"3611","ESSFmmw","ESSFmmw/03","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3612","ESSFmmw","ESSFmmw/03","Pli",3,"Pl",3,NA,FALSE,"ESSF",NA
"3613","ESSFmmw","ESSFmmw/03","Sxw",2,"Sx",2,NA,FALSE,"ESSF",NA
"3614","ESSFmmw","ESSFmmw/04","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3615","ESSFmmw","ESSFmmw/04","Pli",3,"Pl",3,NA,FALSE,"ESSF",NA
"3616","ESSFmmw","ESSFmmw/04","Sxw",2,"Sx",2,NA,FALSE,"ESSF",NA
"3617","ESSFmmw","ESSFmmw/05","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3618","ESSFmmw","ESSFmmw/05","Pli",3,"Pl",3,NA,FALSE,"ESSF",NA
"3619","ESSFmmw","ESSFmmw/05","Sxw",2,"Sx",2,NA,FALSE,"ESSF",NA
"3620","ESSFmmw","ESSFmmw/06","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3621","ESSFmmw","ESSFmmw/06","Pli",3,"Pl",3,NA,FALSE,"ESSF",NA
"3622","ESSFmmw","ESSFmmw/06","Sxw",2,"Sx",2,NA,FALSE,"ESSF",NA
"3623","ESSFmmw","ESSFmmw/07","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3624","ESSFmmw","ESSFmmw/07","Pli",3,"Pl",3,NA,FALSE,"ESSF",NA
"3625","ESSFmmw","ESSFmmw/07","Sxw",2,"Sx",2,NA,FALSE,"ESSF",NA
"3715","ESSFmw","ESSFmw/01","Bl",1,"Bl",1,NA,FALSE,"ESSF",NA
"3719","ESSFmw","ESSFmw/02","Bl",3,"Bl",3,NA,FALSE,"ESSF",NA
"3721","ESSFmw","ESSFmw/02","Pa",3,"Pa",3,NA,FALSE,"ESSF",NA
"3724","ESSFmw","ESSFmw/03","Bl",3,"Bl",3,NA,FALSE,"ESSF",NA
"3726","ESSFmw","ESSFmw/03","Lw",3,"Lw",3,NA,TRUE,"ESSF",NA
"3727","ESSFmw","ESSFmw/03","Pa",3,"Pa",3,NA,FALSE,"ESSF",NA
"3731","ESSFmw","ESSFmw/04","Bl",3,"Bl",3,NA,FALSE,"ESSF",NA
"3736","ESSFmw","ESSFmw/05","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3741","ESSFmw","ESSFmw/06","Bl",1,"Bl",1,NA,FALSE,"ESSF",NA
"3745","ESSFmw","ESSFmw/07","Bl",1,"Bl",1,NA,FALSE,"ESSF",NA
"3747","ESSFmw","ESSFmw/07","Hw",3,"Hw",3,NA,FALSE,"ESSF",NA
"3750","ESSFmw","ESSFmw/08","Ba",3,"Ba",3,NA,FALSE,"ESSF",NA
"3751","ESSFmw","ESSFmw/08","Bl",3,"Bl",3,NA,FALSE,"ESSF",NA
"3755","ESSFmwp","ESSFmwp/00","Bl",3,"Bl",3,NA,FALSE,"ESSF",NA
"3782","ESSFvc","ESSFvc/01","Bl",1,"Bl",1,NA,FALSE,"ESSF",NA
"3783","ESSFvc","ESSFvc/01","Hm",2,"Hm",2,NA,FALSE,"ESSF",NA
"3784","ESSFvc","ESSFvc/01","Se",1,"Sx",1,NA,FALSE,"ESSF",NA
"3785","ESSFvc","ESSFvc/02","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3786","ESSFvc","ESSFvc/02","Hm",3,"Hm",3,NA,FALSE,"ESSF",NA
"3787","ESSFvc","ESSFvc/02","Pli",4,"Pl",4,NA,FALSE,"ESSF",NA
"3788","ESSFvc","ESSFvc/02","Se",2,"Sx",2,NA,FALSE,"ESSF",NA
"3789","ESSFvc","ESSFvc/03","Bl",1,"Bl",1,NA,FALSE,"ESSF",NA
"3790","ESSFvc","ESSFvc/03","Hm",2,"Hm",2,NA,FALSE,"ESSF",NA
"3791","ESSFvc","ESSFvc/03","Se",1,"Sx",1,NA,FALSE,"ESSF",NA
"3792","ESSFvc","ESSFvc/04","Bl",1,"Bl",1,NA,FALSE,"ESSF",NA
"3793","ESSFvc","ESSFvc/04","Hm",2,"Hm",2,NA,FALSE,"ESSF",NA
"3794","ESSFvc","ESSFvc/04","Se",1,"Sx",1,NA,FALSE,"ESSF",NA
"3795","ESSFvc","ESSFvc/05","Bl",1,"Bl",1,NA,FALSE,"ESSF",NA
"3796","ESSFvc","ESSFvc/05","Hm",2,"Hm",2,NA,FALSE,"ESSF",NA
"3797","ESSFvc","ESSFvc/05","Se",1,"Sx",1,NA,FALSE,"ESSF",NA
"3801","ESSFvcp","ESSFvcp/00","Bl",3,"Bl",3,NA,FALSE,"ESSF",NA
"3802","ESSFvcw","ESSFvcw/01","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3803","ESSFvcw","ESSFvcw/01","Hm",3,"Hm",3,NA,FALSE,"ESSF",NA
"3804","ESSFvcw","ESSFvcw/01","Se",2,"Sx",2,NA,FALSE,"ESSF",NA
"3805","ESSFvcw","ESSFvcw/02","Bl",3,"Bl",3,NA,FALSE,"ESSF",NA
"3806","ESSFvcw","ESSFvcw/02","Hm",3,"Hm",3,NA,FALSE,"ESSF",NA
"3807","ESSFvcw","ESSFvcw/02","Pli",5,"Pl",5,NA,FALSE,"ESSF",NA
"3808","ESSFvcw","ESSFvcw/02","Se",3,"Sx",3,NA,FALSE,"ESSF",NA
"3809","ESSFvcw","ESSFvcw/03","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3810","ESSFvcw","ESSFvcw/03","Hm",3,"Hm",3,NA,FALSE,"ESSF",NA
"3811","ESSFvcw","ESSFvcw/03","Se",2,"Sx",2,NA,FALSE,"ESSF",NA
"3812","ESSFvcw","ESSFvcw/04","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3813","ESSFvcw","ESSFvcw/04","Hm",3,"Hm",3,NA,FALSE,"ESSF",NA
"3814","ESSFvcw","ESSFvcw/04","Se",2,"Sx",2,NA,FALSE,"ESSF",NA
"3815","ESSFvcw","ESSFvcw/05","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3816","ESSFvcw","ESSFvcw/05","Hm",3,"Hm",3,NA,FALSE,"ESSF",NA
"3817","ESSFvcw","ESSFvcw/05","Se",2,"Sx",2,NA,FALSE,"ESSF",NA
"3844","ESSFwc4","ESSFwc4/101","Bl",1,"Bl",1,NA,FALSE,"ESSF",NA
"3845","ESSFwc4","ESSFwc4/101","Hw",3,"Hw",3,NA,FALSE,"ESSF",NA
"3846","ESSFwc4","ESSFwc4/101","Pli",3,"Pl",3,NA,FALSE,"ESSF",NA
"3847","ESSFwc4","ESSFwc4/101","Se",1,"Sx",1,NA,FALSE,"ESSF",NA
"3849","ESSFwc4","ESSFwc4/102","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3850","ESSFwc4","ESSFwc4/102","La",3,"La",3,NA,FALSE,"ESSF",NA
"3851","ESSFwc4","ESSFwc4/102","Pa",2,"Pa",2,NA,FALSE,"ESSF",NA
"3852","ESSFwc4","ESSFwc4/102","Pli",2,"Pl",2,NA,FALSE,"ESSF",NA
"3853","ESSFwc4","ESSFwc4/102","Se",2,"Sx",2,NA,FALSE,"ESSF",NA
"3854","ESSFwc4","ESSFwc4/103","Bl",1,"Bl",1,NA,FALSE,"ESSF",NA
"3855","ESSFwc4","ESSFwc4/103","La",3,"La",3,NA,FALSE,"ESSF",NA
"3856","ESSFwc4","ESSFwc4/103","Pa",2,"Pa",2,NA,FALSE,"ESSF",NA
"3857","ESSFwc4","ESSFwc4/103","Pli",2,"Pl",2,NA,FALSE,"ESSF",NA
"3858","ESSFwc4","ESSFwc4/103","Se",1,"Sx",1,NA,FALSE,"ESSF",NA
"3869","ESSFwc4","ESSFwc4/110","Bl",1,"Bl",1,NA,FALSE,"ESSF",NA
"3870","ESSFwc4","ESSFwc4/110","Se",1,"Sx",1,NA,FALSE,"ESSF",NA
"3871","ESSFwc4","ESSFwc4/111","Bl",1,"Bl",1,NA,FALSE,"ESSF",NA
"3872","ESSFwc4","ESSFwc4/111","Se",1,"Sx",1,NA,FALSE,"ESSF",NA
"3882","ESSFwcp","ESSFwcp/00","Bl",3,"Bl",3,NA,FALSE,"ESSF",NA
"3883","ESSFwcw","ESSFwcw/101","Bl",1,"Bl",1,NA,FALSE,"ESSF",NA
"3884","ESSFwcw","ESSFwcw/101","Pa",3,"Pa",3,NA,FALSE,"ESSF",NA
"3885","ESSFwcw","ESSFwcw/101","Se",2,"Sx",2,NA,FALSE,"ESSF",NA
"3886","ESSFwcw","ESSFwcw/102","Bl",3,"Bl",3,NA,FALSE,"ESSF",NA
"3887","ESSFwcw","ESSFwcw/102","La",3,"La",3,NA,FALSE,"ESSF",NA
"3888","ESSFwcw","ESSFwcw/102","Pa",2,"Pa",2,NA,FALSE,"ESSF",NA
"3889","ESSFwcw","ESSFwcw/102","Pli",3,"Pl",3,NA,FALSE,"ESSF",NA
"3890","ESSFwcw","ESSFwcw/102","Se",3,"Sx",3,NA,FALSE,"ESSF",NA
"3891","ESSFwcw","ESSFwcw/103","Bl",1,"Bl",1,NA,FALSE,"ESSF",NA
"3892","ESSFwcw","ESSFwcw/103","La",3,"La",3,NA,FALSE,"ESSF",NA
"3893","ESSFwcw","ESSFwcw/103","Pa",2,"Pa",2,NA,FALSE,"ESSF",NA
"3894","ESSFwcw","ESSFwcw/103","Se",2,"Sx",2,NA,FALSE,"ESSF",NA
"3895","ESSFwcw","ESSFwcw/104","Bl",1,"Bl",1,NA,FALSE,"ESSF",NA
"3896","ESSFwcw","ESSFwcw/104","La",3,"La",3,NA,FALSE,"ESSF",NA
"3897","ESSFwcw","ESSFwcw/104","Pa",3,"Pa",3,NA,FALSE,"ESSF",NA
"3898","ESSFwcw","ESSFwcw/104","Se",2,"Sx",2,NA,FALSE,"ESSF",NA
"3899","ESSFwcw","ESSFwcw/110","Bl",1,"Bl",1,NA,FALSE,"ESSF",NA
"3900","ESSFwcw","ESSFwcw/110","Se",2,"Sx",2,NA,FALSE,"ESSF",NA
"3901","ESSFwh1","ESSFwh1/101","Act",3,"Ac",3,NA,FALSE,"ESSF",NA
"3902","ESSFwh1","ESSFwh1/101","At",3,"At",3,NA,FALSE,"ESSF",NA
"3903","ESSFwh1","ESSFwh1/101","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3904","ESSFwh1","ESSFwh1/101","Cw",2,"Cw",2,NA,FALSE,"ESSF",NA
"3905","ESSFwh1","ESSFwh1/101","Fdi",3,"Fd",3,NA,FALSE,"ESSF",NA
"3906","ESSFwh1","ESSFwh1/101","Hw",1,"Hw",1,NA,FALSE,"ESSF",NA
"3907","ESSFwh1","ESSFwh1/101","Lw",3,"Lw",3,NA,FALSE,"ESSF",NA
"3908","ESSFwh1","ESSFwh1/101","Pli",3,"Pl",3,NA,FALSE,"ESSF",NA
"3909","ESSFwh1","ESSFwh1/101","Pw",4,"Pw",4,NA,FALSE,"ESSF",NA
"3910","ESSFwh1","ESSFwh1/101","Se",1,"Sx",1,NA,FALSE,"ESSF",NA
"3911","ESSFwh1","ESSFwh1/102","Bl",3,"Bl",3,NA,FALSE,"ESSF",NA
"3912","ESSFwh1","ESSFwh1/102","Fdi",3,"Fd",3,NA,FALSE,"ESSF",NA
"3913","ESSFwh1","ESSFwh1/102","Pa",3,"Pa",3,NA,FALSE,"ESSF",NA
"3914","ESSFwh1","ESSFwh1/102","Pli",3,"Pl",3,NA,FALSE,"ESSF",NA
"3915","ESSFwh1","ESSFwh1/102","Se",2,"Sx",2,NA,FALSE,"ESSF",NA
"3916","ESSFwh1","ESSFwh1/103","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3917","ESSFwh1","ESSFwh1/103","Cw",3,"Cw",3,NA,FALSE,"ESSF",NA
"3918","ESSFwh1","ESSFwh1/103","Fdi",1,"Fd",1,NA,FALSE,"ESSF",NA
"3919","ESSFwh1","ESSFwh1/103","Lw",2,"Lw",2,NA,FALSE,"ESSF",NA
"3920","ESSFwh1","ESSFwh1/103","Pa",3,"Pa",3,NA,FALSE,"ESSF",NA
"3921","ESSFwh1","ESSFwh1/103","Pli",2,"Pl",2,NA,FALSE,"ESSF",NA
"3922","ESSFwh1","ESSFwh1/103","Pw",3,"Pw",3,NA,FALSE,"ESSF",NA
"3923","ESSFwh1","ESSFwh1/103","Se",2,"Sx",2,NA,FALSE,"ESSF",NA
"3924","ESSFwh1","ESSFwh1/104","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3925","ESSFwh1","ESSFwh1/104","Cw",3,"Cw",3,NA,FALSE,"ESSF",NA
"3926","ESSFwh1","ESSFwh1/104","Fdi",2,"Fd",2,NA,FALSE,"ESSF",NA
"3927","ESSFwh1","ESSFwh1/104","Hw",1,"Hw",1,NA,FALSE,"ESSF",NA
"3928","ESSFwh1","ESSFwh1/104","Lw",2,"Lw",2,NA,FALSE,"ESSF",NA
"3929","ESSFwh1","ESSFwh1/104","Pa",3,"Pa",3,NA,FALSE,"ESSF",NA
"3930","ESSFwh1","ESSFwh1/104","Pli",3,"Pl",3,NA,FALSE,"ESSF",NA
"3931","ESSFwh1","ESSFwh1/104","Pw",3,"Pw",3,NA,FALSE,"ESSF",NA
"3932","ESSFwh1","ESSFwh1/104","Se",2,"Sx",2,NA,FALSE,"ESSF",NA
"3933","ESSFwh1","ESSFwh1/110","Act",2,"Ac",2,NA,FALSE,"ESSF",NA
"3934","ESSFwh1","ESSFwh1/110","Bl",2,"Bl",2,NA,FALSE,"ESSF",NA
"3935","ESSFwh1","ESSFwh1/110","Cw",3,"Cw",3,NA,FALSE,"ESSF",NA
"3936","ESSFwh1","ESSFwh1/110","Hw",3,"Hw",3,NA,FALSE,"ESSF",NA
